date,videocamere,isPartial
2018-01-07,22,False
2018-01-14,33,False
2018-01-21,22,False
2018-01-28,32,False
2018-02-04,22,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,66,False
2018-03-04,45,False
2018-03-11,0,False
2018-03-18,35,False
2018-03-25,35,False
2018-04-01,25,False
2018-04-08,35,False
2018-04-15,25,False
2018-04-22,25,False
2018-04-29,48,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,70,False
2018-05-27,0,False
2018-06-03,35,False
2018-06-10,45,False
2018-06-17,23,False
2018-06-24,35,False
2018-07-01,68,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,36,False
2018-07-29,35,False
2018-08-05,24,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,22,False
2018-09-02,0,False
2018-09-09,23,False
2018-09-16,23,False
2018-09-23,47,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,23,False
2018-11-04,34,False
2018-11-11,48,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,38,False
2018-12-23,28,False
2018-12-30,100,False
2019-01-06,0,False
2019-01-13,45,False
2019-01-20,22,False
2019-01-27,74,False
2019-02-03,22,False
2019-02-10,65,False
2019-02-17,44,False
2019-02-24,33,False
2019-03-03,45,False
2019-03-10,22,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,0,False
2019-04-28,33,False
2019-05-05,21,False
2019-05-12,31,False
2019-05-19,31,False
2019-05-26,0,False
2019-06-02,45,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,34,False
2019-07-14,24,False
2019-07-21,23,False
2019-07-28,35,False
2019-08-04,49,False
2019-08-11,0,False
2019-08-18,47,False
2019-08-25,32,False
2019-09-01,41,False
2019-09-08,0,False
2019-09-15,33,False
2019-09-22,21,False
2019-09-29,53,False
2019-10-06,42,False
2019-10-13,43,False
2019-10-20,31,False
2019-10-27,42,False
2019-11-03,20,False
2019-11-10,50,False
2019-11-17,0,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,43,False
2019-12-15,0,False
2019-12-22,24,False
2019-12-29,35,False
2020-01-05,41,False
2020-01-12,58,False
2020-01-19,20,False
2020-01-26,29,False
2020-02-02,19,False
2020-02-09,60,False
2020-02-16,20,False
2020-02-23,19,False
2020-03-01,18,False
2020-03-08,36,False
2020-03-15,0,False
2020-03-22,33,False
2020-03-29,34,False
2020-04-05,36,False
2020-04-12,18,False
2020-04-19,26,False
2020-04-26,45,True
