date,Braut Make Up,isPartial
2018-01-07,30,False
2018-01-14,40,False
2018-01-21,20,False
2018-01-28,40,False
2018-02-04,52,False
2018-02-11,21,False
2018-02-18,61,False
2018-02-25,60,False
2018-03-04,20,False
2018-03-11,30,False
2018-03-18,21,False
2018-03-25,33,False
2018-04-01,43,False
2018-04-08,40,False
2018-04-15,42,False
2018-04-22,100,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,22,False
2018-05-27,81,False
2018-06-03,20,False
2018-06-10,0,False
2018-06-17,20,False
2018-06-24,31,False
2018-07-01,40,False
2018-07-08,29,False
2018-07-15,42,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,0,False
2018-08-12,22,False
2018-08-19,31,False
2018-08-26,21,False
2018-09-02,41,False
2018-09-09,21,False
2018-09-16,31,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,31,False
2018-10-21,41,False
2018-10-28,20,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,29,False
2018-12-09,20,False
2018-12-16,20,False
2018-12-23,69,False
2018-12-30,21,False
2019-01-06,48,False
2019-01-13,28,False
2019-01-20,19,False
2019-01-27,47,False
2019-02-03,19,False
2019-02-10,0,False
2019-02-17,29,False
2019-02-24,40,False
2019-03-03,19,False
2019-03-10,37,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,29,False
2019-04-07,39,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,39,False
2019-05-19,57,False
2019-05-26,40,False
2019-06-02,29,False
2019-06-09,49,False
2019-06-16,40,False
2019-06-23,20,False
2019-06-30,38,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,22,False
2019-07-28,21,False
2019-08-04,43,False
2019-08-11,62,False
2019-08-18,20,False
2019-08-25,19,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,49,False
2019-09-22,19,False
2019-09-29,38,False
2019-10-06,37,False
2019-10-13,47,False
2019-10-20,38,False
2019-10-27,19,False
2019-11-03,36,False
2019-11-10,18,False
2019-11-17,35,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,35,False
2020-01-12,50,False
2020-01-19,26,False
2020-01-26,60,False
2020-02-02,17,False
2020-02-09,42,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,42,False
2020-03-08,47,False
2020-03-15,31,False
2020-03-22,15,False
2020-03-29,0,False
2020-04-05,17,False
2020-04-12,0,True
