date,trucco occhi marroni,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,45,False
2018-02-04,57,False
2018-02-11,45,False
2018-02-18,22,False
2018-02-25,54,False
2018-03-04,53,False
2018-03-11,43,False
2018-03-18,33,False
2018-03-25,23,False
2018-04-01,95,False
2018-04-08,22,False
2018-04-15,45,False
2018-04-22,35,False
2018-04-29,46,False
2018-05-06,22,False
2018-05-13,22,False
2018-05-20,44,False
2018-05-27,44,False
2018-06-03,33,False
2018-06-10,66,False
2018-06-17,46,False
2018-06-24,34,False
2018-07-01,22,False
2018-07-08,23,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,50,False
2018-08-05,52,False
2018-08-12,90,False
2018-08-19,74,False
2018-08-26,47,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,42,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,32,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,20,False
2018-11-11,32,False
2018-11-18,41,False
2018-11-25,21,False
2018-12-02,32,False
2018-12-09,42,False
2018-12-16,22,False
2018-12-23,0,False
2018-12-30,100,False
2019-01-06,22,False
2019-01-13,41,False
2019-01-20,72,False
2019-01-27,30,False
2019-02-03,41,False
2019-02-10,31,False
2019-02-17,42,False
2019-02-24,21,False
2019-03-03,22,False
2019-03-10,21,False
2019-03-17,22,False
2019-03-24,55,False
2019-03-31,22,False
2019-04-07,21,False
2019-04-14,0,False
2019-04-21,37,False
2019-04-28,44,False
2019-05-05,21,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,41,False
2019-06-02,0,False
2019-06-09,54,False
2019-06-16,33,False
2019-06-23,22,False
2019-06-30,22,False
2019-07-07,0,False
2019-07-14,45,False
2019-07-21,0,False
2019-07-28,36,False
2019-08-04,52,False
2019-08-11,30,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,20,False
2019-09-08,62,False
2019-09-15,61,False
2019-09-22,0,False
2019-09-29,20,False
2019-10-06,41,False
2019-10-13,20,False
2019-10-20,49,False
2019-10-27,20,False
2019-11-03,39,False
2019-11-10,39,False
2019-11-17,19,False
2019-11-24,19,False
2019-12-01,0,False
2019-12-08,40,False
2019-12-15,61,False
2019-12-22,37,False
2019-12-29,23,False
2020-01-05,30,False
2020-01-12,0,False
2020-01-19,38,False
2020-01-26,46,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,18,False
2020-02-23,18,False
2020-03-01,35,False
2020-03-08,0,False
2020-03-15,54,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,0,True
