date,recogidos para bodas,isPartial
2018-01-07,0,False
2018-01-14,51,False
2018-01-21,17,False
2018-01-28,16,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,17,False
2018-02-25,0,False
2018-03-04,40,False
2018-03-11,31,False
2018-03-18,25,False
2018-03-25,18,False
2018-04-01,49,False
2018-04-08,32,False
2018-04-15,52,False
2018-04-22,16,False
2018-04-29,17,False
2018-05-06,25,False
2018-05-13,43,False
2018-05-20,17,False
2018-05-27,34,False
2018-06-03,33,False
2018-06-10,64,False
2018-06-17,61,False
2018-06-24,34,False
2018-07-01,69,False
2018-07-08,50,False
2018-07-15,44,False
2018-07-22,69,False
2018-07-29,100,False
2018-08-05,49,False
2018-08-12,50,False
2018-08-19,42,False
2018-08-26,98,False
2018-09-02,58,False
2018-09-09,40,False
2018-09-16,41,False
2018-09-23,82,False
2018-09-30,42,False
2018-10-07,42,False
2018-10-14,48,False
2018-10-21,16,False
2018-10-28,51,False
2018-11-04,16,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,45,False
2018-12-09,18,False
2018-12-16,0,False
2018-12-23,39,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,0,False
2019-02-03,33,False
2019-02-10,17,False
2019-02-17,0,False
2019-02-24,35,False
2019-03-03,34,False
2019-03-10,26,False
2019-03-17,17,False
2019-03-24,17,False
2019-03-31,32,False
2019-04-07,16,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,16,False
2019-05-05,0,False
2019-05-12,34,False
2019-05-19,25,False
2019-05-26,40,False
2019-06-02,24,False
2019-06-09,40,False
2019-06-16,51,False
2019-06-23,58,False
2019-06-30,41,False
2019-07-07,33,False
2019-07-14,58,False
2019-07-21,25,False
2019-07-28,34,False
2019-08-04,33,False
2019-08-11,56,False
2019-08-18,95,False
2019-08-25,54,False
2019-09-01,54,False
2019-09-08,61,False
2019-09-15,23,False
2019-09-22,39,False
2019-09-29,54,False
2019-10-06,23,False
2019-10-13,23,False
2019-10-20,15,False
2019-10-27,23,False
2019-11-03,15,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,16,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,14,False
2020-02-02,14,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,14,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
