date,recogidos para bodas,isPartial
2018-01-07,8,False
2018-01-14,17,False
2018-01-21,12,False
2018-01-28,8,False
2018-02-04,25,False
2018-02-11,17,False
2018-02-18,21,False
2018-02-25,16,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,8,False
2018-03-25,37,False
2018-04-01,59,False
2018-04-08,36,False
2018-04-15,58,False
2018-04-22,16,False
2018-04-29,42,False
2018-05-06,32,False
2018-05-13,29,False
2018-05-20,33,False
2018-05-27,61,False
2018-06-03,56,False
2018-06-10,78,False
2018-06-17,60,False
2018-06-24,80,False
2018-07-01,55,False
2018-07-08,83,False
2018-07-15,57,False
2018-07-22,52,False
2018-07-29,100,False
2018-08-05,60,False
2018-08-12,57,False
2018-08-19,80,False
2018-08-26,93,False
2018-09-02,69,False
2018-09-09,53,False
2018-09-16,45,False
2018-09-23,56,False
2018-09-30,32,False
2018-10-07,41,False
2018-10-14,32,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,31,False
2018-11-11,20,False
2018-11-18,15,False
2018-11-25,8,False
2018-12-02,21,False
2018-12-09,17,False
2018-12-16,8,False
2018-12-23,14,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,8,False
2019-01-20,0,False
2019-01-27,30,False
2019-02-03,8,False
2019-02-10,20,False
2019-02-17,16,False
2019-02-24,32,False
2019-03-03,24,False
2019-03-10,33,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,12,False
2019-04-07,20,False
2019-04-14,17,False
2019-04-21,39,False
2019-04-28,16,False
2019-05-05,19,False
2019-05-12,51,False
2019-05-19,39,False
2019-05-26,38,False
2019-06-02,26,False
2019-06-09,50,False
2019-06-16,44,False
2019-06-23,53,False
2019-06-30,64,False
2019-07-07,51,False
2019-07-14,66,False
2019-07-21,74,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,43,False
2019-08-18,54,False
2019-08-25,87,False
2019-09-01,75,False
2019-09-08,53,False
2019-09-15,26,False
2019-09-22,37,False
2019-09-29,19,False
2019-10-06,18,False
2019-10-13,25,False
2019-10-20,22,False
2019-10-27,15,False
2019-11-03,7,False
2019-11-10,7,False
2019-11-17,11,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,8,False
2019-12-15,18,False
2019-12-22,16,False
2019-12-29,0,False
2020-01-05,14,False
2020-01-12,7,False
2020-01-19,0,False
2020-01-26,21,False
2020-02-02,14,False
2020-02-09,27,False
2020-02-16,7,False
2020-02-23,27,False
2020-03-01,10,False
2020-03-08,13,False
2020-03-15,6,False
2020-03-22,6,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,10,True
