date,Grundreinigung,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,29,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,29,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,31,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,28,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,58,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,29,False
2018-10-21,28,False
2018-10-28,28,False
2018-11-04,28,False
2018-11-11,57,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,0,False
2019-04-07,45,False
2019-04-14,31,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,55,False
2019-05-12,0,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,55,False
2019-06-23,0,False
2019-06-30,28,False
2019-07-07,0,False
2019-07-14,30,False
2019-07-21,31,False
2019-07-28,29,False
2019-08-04,28,False
2019-08-11,26,False
2019-08-18,27,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,27,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,0,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,0,False
2019-11-24,100,False
2019-12-01,25,False
2019-12-08,37,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,48,False
2020-01-26,37,False
2020-02-02,24,False
2020-02-09,23,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,24,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,45,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,22,False
