date,Grundreinigung,isPartial
2018-01-07,31,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,48,False
2018-02-18,32,False
2018-02-25,31,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,48,False
2018-03-25,34,False
2018-04-01,69,False
2018-04-08,33,False
2018-04-15,66,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,33,False
2018-05-13,63,False
2018-05-20,33,False
2018-05-27,34,False
2018-06-03,0,False
2018-06-10,45,False
2018-06-17,76,False
2018-06-24,46,False
2018-07-01,60,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,34,False
2018-09-02,49,False
2018-09-09,95,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,32,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,61,False
2018-10-28,52,False
2018-11-04,91,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,60,False
2018-12-02,60,False
2018-12-09,61,False
2018-12-16,47,False
2018-12-23,73,False
2018-12-30,33,False
2019-01-06,0,False
2019-01-13,71,False
2019-01-20,71,False
2019-01-27,57,False
2019-02-03,0,False
2019-02-10,39,False
2019-02-17,44,False
2019-02-24,60,False
2019-03-03,60,False
2019-03-10,88,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,32,False
2019-04-07,30,False
2019-04-14,0,False
2019-04-21,48,False
2019-04-28,30,False
2019-05-05,30,False
2019-05-12,29,False
2019-05-19,49,False
2019-05-26,61,False
2019-06-02,61,False
2019-06-09,32,False
2019-06-16,31,False
2019-06-23,76,False
2019-06-30,45,False
2019-07-07,0,False
2019-07-14,50,False
2019-07-21,0,False
2019-07-28,30,False
2019-08-04,63,False
2019-08-11,32,False
2019-08-18,49,False
2019-08-25,53,False
2019-09-01,0,False
2019-09-08,75,False
2019-09-15,45,False
2019-09-22,0,False
2019-09-29,58,False
2019-10-06,56,False
2019-10-13,28,False
2019-10-20,70,False
2019-10-27,28,False
2019-11-03,0,False
2019-11-10,42,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,100,False
2019-12-08,42,False
2019-12-15,43,False
2019-12-22,33,False
2019-12-29,46,False
2020-01-05,68,False
2020-01-12,40,False
2020-01-19,27,False
2020-01-26,40,False
2020-02-02,39,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,40,False
2020-03-01,44,False
2020-03-08,33,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,36,False
2020-04-05,27,False
2020-04-12,34,False
2020-04-19,25,False
2020-04-26,24,False
2020-05-03,33,False
2020-05-10,37,False
