date,Terrassengestaltung,isPartial
2018-01-07,0,False
2018-01-14,20,False
2018-01-21,31,False
2018-01-28,62,False
2018-02-04,32,False
2018-02-11,83,False
2018-02-18,20,False
2018-02-25,0,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,99,False
2018-04-15,44,False
2018-04-22,44,False
2018-04-29,23,False
2018-05-06,22,False
2018-05-13,85,False
2018-05-20,89,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,21,False
2018-06-17,32,False
2018-06-24,41,False
2018-07-01,21,False
2018-07-08,43,False
2018-07-15,66,False
2018-07-22,22,False
2018-07-29,23,False
2018-08-05,44,False
2018-08-12,23,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,43,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,0,False
2018-10-14,21,False
2018-10-21,0,False
2018-10-28,22,False
2018-11-04,0,False
2018-11-11,21,False
2018-11-18,20,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,20,False
2019-02-17,39,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,19,False
2019-03-17,40,False
2019-03-24,30,False
2019-03-31,21,False
2019-04-07,30,False
2019-04-14,44,False
2019-04-21,32,False
2019-04-28,51,False
2019-05-05,29,False
2019-05-12,20,False
2019-05-19,59,False
2019-05-26,0,False
2019-06-02,20,False
2019-06-09,42,False
2019-06-16,62,False
2019-06-23,21,False
2019-06-30,41,False
2019-07-07,0,False
2019-07-14,21,False
2019-07-21,0,False
2019-07-28,42,False
2019-08-04,43,False
2019-08-11,43,False
2019-08-18,0,False
2019-08-25,40,False
2019-09-01,39,False
2019-09-08,0,False
2019-09-15,20,False
2019-09-22,0,False
2019-09-29,38,False
2019-10-06,0,False
2019-10-13,19,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,37,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,0,False
2020-01-05,18,False
2020-01-12,34,False
2020-01-19,35,False
2020-01-26,17,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,49,False
2020-03-01,59,False
2020-03-08,32,False
2020-03-15,33,False
2020-03-22,32,False
2020-03-29,16,False
2020-04-05,36,False
2020-04-12,51,False
2020-04-19,100,False
2020-04-26,42,False
2020-05-03,60,False
2020-05-10,25,False
2020-05-17,54,False
2020-05-24,17,False
2020-05-31,51,False
2020-06-07,17,False
2020-06-14,17,False
2020-06-21,26,False
2020-06-28,17,False
2020-07-05,18,False
