date,Installation de climatisation,isPartial
2018-01-07,44,False
2018-01-14,12,False
2018-01-21,13,False
2018-01-28,25,False
2018-02-04,0,False
2018-02-11,13,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,13,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,39,False
2018-04-01,20,False
2018-04-08,13,False
2018-04-15,0,False
2018-04-22,13,False
2018-04-29,13,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,13,False
2018-05-27,13,False
2018-06-03,38,False
2018-06-10,24,False
2018-06-17,26,False
2018-06-24,13,False
2018-07-01,19,False
2018-07-08,26,False
2018-07-15,28,False
2018-07-22,56,False
2018-07-29,35,False
2018-08-05,28,False
2018-08-12,14,False
2018-08-19,0,False
2018-08-26,20,False
2018-09-02,13,False
2018-09-09,20,False
2018-09-16,26,False
2018-09-23,13,False
2018-09-30,13,False
2018-10-07,13,False
2018-10-14,26,False
2018-10-21,13,False
2018-10-28,0,False
2018-11-04,19,False
2018-11-11,13,False
2018-11-18,19,False
2018-11-25,13,False
2018-12-02,0,False
2018-12-09,13,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,13,False
2019-01-13,13,False
2019-01-20,12,False
2019-01-27,25,False
2019-02-03,12,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,13,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,13,False
2019-03-24,13,False
2019-03-31,19,False
2019-04-07,26,False
2019-04-14,13,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,44,False
2019-05-12,19,False
2019-05-19,37,False
2019-05-26,26,False
2019-06-02,41,False
2019-06-09,12,False
2019-06-16,13,False
2019-06-23,100,False
2019-06-30,63,False
2019-07-07,19,False
2019-07-14,13,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,13,False
2019-08-11,27,False
2019-08-18,13,False
2019-08-25,51,False
2019-09-01,18,False
2019-09-08,12,False
2019-09-15,18,False
2019-09-22,12,False
2019-09-29,12,False
2019-10-06,0,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,12,False
2019-11-03,29,False
2019-11-10,12,False
2019-11-17,17,False
2019-11-24,11,False
2019-12-01,11,False
2019-12-08,34,False
2019-12-15,12,False
2019-12-22,0,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,11,False
2020-01-26,17,False
2020-02-02,33,False
2020-02-09,28,False
2020-02-16,11,False
2020-02-23,22,False
2020-03-01,16,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,10,False
2020-03-29,25,False
2020-04-05,20,False
2020-04-12,25,False
2020-04-19,40,False
2020-04-26,19,False
2020-05-03,28,False
2020-05-10,30,False
2020-05-17,32,False
2020-05-24,41,False
2020-05-31,54,False
2020-06-07,35,False
2020-06-14,31,False
2020-06-21,39,True
