date,Schalldämmung,isPartial
2018-01-07,61,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,24,False
2018-02-04,25,False
2018-02-11,49,False
2018-02-18,32,False
2018-02-25,48,False
2018-03-04,40,False
2018-03-11,48,False
2018-03-18,25,False
2018-03-25,25,False
2018-04-01,25,False
2018-04-08,50,False
2018-04-15,38,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,0,False
2018-06-03,49,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,37,False
2018-07-01,25,False
2018-07-08,42,False
2018-07-15,27,False
2018-07-22,26,False
2018-07-29,25,False
2018-08-05,23,False
2018-08-12,34,False
2018-08-19,46,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,48,False
2018-09-23,48,False
2018-09-30,0,False
2018-10-07,51,False
2018-10-14,48,False
2018-10-21,35,False
2018-10-28,23,False
2018-11-04,46,False
2018-11-11,47,False
2018-11-18,46,False
2018-11-25,47,False
2018-12-02,23,False
2018-12-09,24,False
2018-12-16,41,False
2018-12-23,36,False
2018-12-30,61,False
2019-01-06,66,False
2019-01-13,30,False
2019-01-20,33,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,38,False
2019-02-17,46,False
2019-02-24,35,False
2019-03-03,45,False
2019-03-10,33,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,24,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,22,False
2019-06-09,23,False
2019-06-16,23,False
2019-06-23,31,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,37,False
2019-07-21,76,False
2019-07-28,24,False
2019-08-04,35,False
2019-08-11,32,False
2019-08-18,30,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,44,False
2019-09-15,22,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,100,False
2019-10-13,43,False
2019-10-20,22,False
2019-10-27,42,False
2019-11-03,42,False
2019-11-10,52,False
2019-11-17,21,False
2019-11-24,41,False
2019-12-01,21,False
2019-12-08,41,False
2019-12-15,21,False
2019-12-22,23,False
2019-12-29,43,False
2020-01-05,33,False
2020-01-12,19,False
2020-01-19,40,False
2020-01-26,20,False
2020-02-02,59,False
2020-02-09,26,False
2020-02-16,33,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,28,False
2020-03-15,18,False
2020-03-22,47,False
2020-03-29,31,False
2020-04-05,47,False
2020-04-12,0,False
2020-04-19,37,False
2020-04-26,30,False
2020-05-03,37,False
2020-05-10,36,False
