date,completo uomo,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,29,False
2018-01-28,20,False
2018-02-04,57,False
2018-02-11,61,False
2018-02-18,20,False
2018-02-25,58,False
2018-03-04,0,False
2018-03-11,20,False
2018-03-18,31,False
2018-03-25,43,False
2018-04-01,22,False
2018-04-08,20,False
2018-04-15,43,False
2018-04-22,22,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,31,False
2018-05-20,42,False
2018-05-27,21,False
2018-06-03,20,False
2018-06-10,0,False
2018-06-17,22,False
2018-06-24,0,False
2018-07-01,23,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,24,False
2018-09-02,34,False
2018-09-09,67,False
2018-09-16,43,False
2018-09-23,0,False
2018-09-30,22,False
2018-10-07,67,False
2018-10-14,22,False
2018-10-21,22,False
2018-10-28,0,False
2018-11-04,41,False
2018-11-11,21,False
2018-11-18,100,False
2018-11-25,41,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,50,False
2018-12-30,46,False
2019-01-06,20,False
2019-01-13,40,False
2019-01-20,29,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,39,False
2019-02-24,20,False
2019-03-03,21,False
2019-03-10,40,False
2019-03-17,0,False
2019-03-24,40,False
2019-03-31,0,False
2019-04-07,20,False
2019-04-14,30,False
2019-04-21,22,False
2019-04-28,41,False
2019-05-05,40,False
2019-05-12,30,False
2019-05-19,58,False
2019-05-26,19,False
2019-06-02,19,False
2019-06-09,38,False
2019-06-16,59,False
2019-06-23,21,False
2019-06-30,30,False
2019-07-07,31,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,23,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,21,False
2019-09-01,28,False
2019-09-08,29,False
2019-09-15,46,False
2019-09-22,29,False
2019-09-29,58,False
2019-10-06,39,False
2019-10-13,38,False
2019-10-20,27,False
2019-10-27,37,False
2019-11-03,0,False
2019-11-10,55,False
2019-11-17,18,False
2019-11-24,44,False
2019-12-01,37,False
2019-12-08,19,False
2019-12-15,37,False
2019-12-22,21,False
2019-12-29,61,False
2020-01-05,89,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,25,False
2020-02-02,33,False
2020-02-09,26,False
2020-02-16,51,False
2020-02-23,32,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,15,False
2020-04-05,15,False
2020-04-12,16,False
2020-04-19,22,False
2020-04-26,50,True
