date,completo uomo,isPartial
2018-01-07,24,False
2018-01-14,47,False
2018-01-21,47,False
2018-01-28,23,False
2018-02-04,46,False
2018-02-11,23,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,46,False
2018-03-11,34,False
2018-03-18,36,False
2018-03-25,24,False
2018-04-01,26,False
2018-04-08,47,False
2018-04-15,24,False
2018-04-22,100,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,24,False
2018-05-20,23,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,23,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,25,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,24,False
2018-09-02,35,False
2018-09-09,35,False
2018-09-16,23,False
2018-09-23,69,False
2018-09-30,23,False
2018-10-07,48,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,47,False
2018-11-04,22,False
2018-11-11,23,False
2018-11-18,56,False
2018-11-25,69,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,30,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,46,False
2019-01-20,69,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,47,False
2019-02-24,23,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,23,False
2019-03-24,24,False
2019-03-31,35,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,47,False
2019-05-12,44,False
2019-05-19,34,False
2019-05-26,22,False
2019-06-02,36,False
2019-06-09,35,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,0,False
2019-07-07,44,False
2019-07-14,34,False
2019-07-21,47,False
2019-07-28,47,False
2019-08-04,50,False
2019-08-11,27,False
2019-08-18,24,False
2019-08-25,22,False
2019-09-01,52,False
2019-09-08,54,False
2019-09-15,63,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,22,False
2019-10-13,66,False
2019-10-20,43,False
2019-10-27,43,False
2019-11-03,21,False
2019-11-10,42,False
2019-11-17,42,False
2019-11-24,41,False
2019-12-01,54,False
2019-12-08,44,False
2019-12-15,44,False
2019-12-22,53,False
2019-12-29,75,False
2020-01-05,43,False
2020-01-12,20,False
2020-01-19,60,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,30,False
2020-02-16,20,False
2020-02-23,46,False
2020-03-01,19,False
2020-03-08,36,False
2020-03-15,0,False
2020-03-22,34,False
2020-03-29,26,False
2020-04-05,18,False
2020-04-12,19,False
2020-04-19,17,False
2020-04-26,0,True
