date,corporativo,isPartial
2018-01-07,31,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,63,False
2018-02-04,0,False
2018-02-11,64,False
2018-02-18,32,False
2018-02-25,61,False
2018-03-04,20,False
2018-03-11,61,False
2018-03-18,0,False
2018-03-25,44,False
2018-04-01,40,False
2018-04-08,20,False
2018-04-15,21,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,81,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,22,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,61,False
2018-07-22,21,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,20,False
2018-08-19,20,False
2018-08-26,20,False
2018-09-02,50,False
2018-09-09,61,False
2018-09-16,41,False
2018-09-23,100,False
2018-09-30,20,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,20,False
2018-10-28,21,False
2018-11-04,19,False
2018-11-11,41,False
2018-11-18,19,False
2018-11-25,40,False
2018-12-02,21,False
2018-12-09,41,False
2018-12-16,20,False
2018-12-23,35,False
2018-12-30,23,False
2019-01-06,21,False
2019-01-13,19,False
2019-01-20,37,False
2019-01-27,29,False
2019-02-03,40,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,31,False
2019-03-24,41,False
2019-03-31,59,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,19,False
2019-04-28,30,False
2019-05-05,0,False
2019-05-12,20,False
2019-05-19,29,False
2019-05-26,19,False
2019-06-02,18,False
2019-06-09,19,False
2019-06-16,19,False
2019-06-23,0,False
2019-06-30,39,False
2019-07-07,19,False
2019-07-14,0,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,18,False
2019-08-11,0,False
2019-08-18,18,False
2019-08-25,19,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,65,False
2019-09-22,28,False
2019-09-29,27,False
2019-10-06,83,False
2019-10-13,44,False
2019-10-20,55,False
2019-10-27,18,False
2019-11-03,36,False
2019-11-10,52,False
2019-11-17,18,False
2019-11-24,34,False
2019-12-01,28,False
2019-12-08,45,False
2019-12-15,26,False
2019-12-22,19,False
2019-12-29,19,False
2020-01-05,36,False
2020-01-12,49,False
2020-01-19,0,False
2020-01-26,16,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,17,False
2020-03-01,16,False
2020-03-08,48,False
2020-03-15,63,False
2020-03-22,66,False
2020-03-29,36,False
2020-04-05,30,False
2020-04-12,35,True
