date,Pizzica,isPartial
2018-01-07,25,False
2018-01-14,20,False
2018-01-21,19,False
2018-01-28,16,False
2018-02-04,13,False
2018-02-11,11,False
2018-02-18,16,False
2018-02-25,18,False
2018-03-04,14,False
2018-03-11,8,False
2018-03-18,21,False
2018-03-25,11,False
2018-04-01,12,False
2018-04-08,11,False
2018-04-15,23,False
2018-04-22,33,False
2018-04-29,26,False
2018-05-06,20,False
2018-05-13,31,False
2018-05-20,42,False
2018-05-27,23,False
2018-06-03,32,False
2018-06-10,34,False
2018-06-17,35,False
2018-06-24,29,False
2018-07-01,25,False
2018-07-08,32,False
2018-07-15,38,False
2018-07-22,53,False
2018-07-29,40,False
2018-08-05,62,False
2018-08-12,80,False
2018-08-19,47,False
2018-08-26,78,False
2018-09-02,41,False
2018-09-09,16,False
2018-09-16,27,False
2018-09-23,19,False
2018-09-30,14,False
2018-10-07,17,False
2018-10-14,23,False
2018-10-21,17,False
2018-10-28,17,False
2018-11-04,16,False
2018-11-11,20,False
2018-11-18,14,False
2018-11-25,22,False
2018-12-02,6,False
2018-12-09,11,False
2018-12-16,12,False
2018-12-23,27,False
2018-12-30,25,False
2019-01-06,30,False
2019-01-13,13,False
2019-01-20,17,False
2019-01-27,20,False
2019-02-03,5,False
2019-02-10,25,False
2019-02-17,21,False
2019-02-24,8,False
2019-03-03,5,False
2019-03-10,15,False
2019-03-17,21,False
2019-03-24,21,False
2019-03-31,18,False
2019-04-07,18,False
2019-04-14,13,False
2019-04-21,22,False
2019-04-28,17,False
2019-05-05,33,False
2019-05-12,15,False
2019-05-19,23,False
2019-05-26,19,False
2019-06-02,13,False
2019-06-09,29,False
2019-06-16,21,False
2019-06-23,39,False
2019-06-30,37,False
2019-07-07,41,False
2019-07-14,38,False
2019-07-21,39,False
2019-07-28,54,False
2019-08-04,70,False
2019-08-11,73,False
2019-08-18,100,False
2019-08-25,73,False
2019-09-01,33,False
2019-09-08,31,False
2019-09-15,26,False
2019-09-22,36,False
2019-09-29,22,False
2019-10-06,17,False
2019-10-13,20,False
2019-10-20,10,False
2019-10-27,19,False
2019-11-03,9,False
2019-11-10,14,False
2019-11-17,15,False
2019-11-24,14,False
2019-12-01,7,False
2019-12-08,10,False
2019-12-15,24,False
2019-12-22,15,False
2019-12-29,20,False
2020-01-05,16,False
2020-01-12,18,False
2020-01-19,16,False
2020-01-26,18,False
2020-02-02,15,False
2020-02-09,18,False
2020-02-16,14,False
2020-02-23,22,False
2020-03-01,17,False
2020-03-08,14,False
2020-03-15,12,False
2020-03-22,11,False
2020-03-29,16,False
2020-04-05,12,False
2020-04-12,14,False
2020-04-19,29,False
2020-04-26,7,True
