date,rénover une maison,isPartial
2018-01-07,15,False
2018-01-14,0,False
2018-01-21,30,False
2018-01-28,53,False
2018-02-04,25,False
2018-02-11,45,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,15,False
2018-03-18,23,False
2018-03-25,23,False
2018-04-01,31,False
2018-04-08,31,False
2018-04-15,16,False
2018-04-22,24,False
2018-04-29,26,False
2018-05-06,16,False
2018-05-13,0,False
2018-05-20,24,False
2018-05-27,15,False
2018-06-03,30,False
2018-06-10,15,False
2018-06-17,21,False
2018-06-24,23,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,17,False
2018-08-12,17,False
2018-08-19,39,False
2018-08-26,16,False
2018-09-02,31,False
2018-09-09,16,False
2018-09-16,31,False
2018-09-23,16,False
2018-09-30,31,False
2018-10-07,16,False
2018-10-14,31,False
2018-10-21,24,False
2018-10-28,21,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,35,False
2018-11-25,25,False
2018-12-02,23,False
2018-12-09,31,False
2018-12-16,31,False
2018-12-23,18,False
2018-12-30,16,False
2019-01-06,20,False
2019-01-13,25,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,15,False
2019-02-10,31,False
2019-02-17,16,False
2019-02-24,31,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,24,False
2019-03-24,16,False
2019-03-31,15,False
2019-04-07,16,False
2019-04-14,32,False
2019-04-21,23,False
2019-04-28,15,False
2019-05-05,30,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,15,False
2019-06-02,21,False
2019-06-09,44,False
2019-06-16,15,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,62,False
2019-07-21,16,False
2019-07-28,32,False
2019-08-04,16,False
2019-08-11,16,False
2019-08-18,32,False
2019-08-25,30,False
2019-09-01,44,False
2019-09-08,14,False
2019-09-15,29,False
2019-09-22,33,False
2019-09-29,19,False
2019-10-06,21,False
2019-10-13,14,False
2019-10-20,29,False
2019-10-27,42,False
2019-11-03,27,False
2019-11-10,18,False
2019-11-17,41,False
2019-11-24,40,False
2019-12-01,14,False
2019-12-08,13,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,13,False
2020-01-12,13,False
2020-01-19,20,False
2020-01-26,31,False
2020-02-02,40,False
2020-02-09,13,False
2020-02-16,27,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,38,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,16,False
2020-04-05,24,False
2020-04-12,24,False
2020-04-19,43,False
2020-04-26,34,False
2020-05-03,28,False
2020-05-10,20,False
2020-05-17,21,False
2020-05-24,19,False
2020-05-31,31,False
2020-06-07,20,False
2020-06-14,41,False
2020-06-21,100,True
