date,festa matrimonio,isPartial
2018-01-07,10,False
2018-01-14,12,False
2018-01-21,20,False
2018-01-28,14,False
2018-02-04,19,False
2018-02-11,15,False
2018-02-18,16,False
2018-02-25,9,False
2018-03-04,24,False
2018-03-11,12,False
2018-03-18,12,False
2018-03-25,15,False
2018-04-01,13,False
2018-04-08,17,False
2018-04-15,30,False
2018-04-22,18,False
2018-04-29,34,False
2018-05-06,48,False
2018-05-13,56,False
2018-05-20,100,False
2018-05-27,30,False
2018-06-03,25,False
2018-06-10,19,False
2018-06-17,29,False
2018-06-24,15,False
2018-07-01,17,False
2018-07-08,19,False
2018-07-15,27,False
2018-07-22,17,False
2018-07-29,18,False
2018-08-05,8,False
2018-08-12,28,False
2018-08-19,32,False
2018-08-26,27,False
2018-09-02,55,False
2018-09-09,14,False
2018-09-16,26,False
2018-09-23,34,False
2018-09-30,38,False
2018-10-07,24,False
2018-10-14,17,False
2018-10-21,10,False
2018-10-28,19,False
2018-11-04,19,False
2018-11-11,7,False
2018-11-18,17,False
2018-11-25,12,False
2018-12-02,10,False
2018-12-09,12,False
2018-12-16,8,False
2018-12-23,12,False
2018-12-30,5,False
2019-01-06,5,False
2019-01-13,9,False
2019-01-20,11,False
2019-01-27,13,False
2019-02-03,9,False
2019-02-10,14,False
2019-02-17,12,False
2019-02-24,12,False
2019-03-03,20,False
2019-03-10,12,False
2019-03-17,15,False
2019-03-24,7,False
2019-03-31,10,False
2019-04-07,14,False
2019-04-14,22,False
2019-04-21,28,False
2019-04-28,31,False
2019-05-05,25,False
2019-05-12,37,False
2019-05-19,18,False
2019-05-26,27,False
2019-06-02,22,False
2019-06-09,29,False
2019-06-16,24,False
2019-06-23,22,False
2019-06-30,27,False
2019-07-07,26,False
2019-07-14,29,False
2019-07-21,42,False
2019-07-28,15,False
2019-08-04,23,False
2019-08-11,19,False
2019-08-18,25,False
2019-08-25,21,False
2019-09-01,24,False
2019-09-08,39,False
2019-09-15,24,False
2019-09-22,18,False
2019-09-29,25,False
2019-10-06,16,False
2019-10-13,9,False
2019-10-20,13,False
2019-10-27,11,False
2019-11-03,9,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,9,False
2019-12-01,7,False
2019-12-08,9,False
2019-12-15,11,False
2019-12-22,5,False
2019-12-29,8,False
2020-01-05,13,False
2020-01-12,10,False
2020-01-19,21,False
2020-01-26,12,False
2020-02-02,6,False
2020-02-09,13,False
2020-02-16,15,False
2020-02-23,4,False
2020-03-01,18,False
2020-03-08,8,False
2020-03-15,4,False
2020-03-22,4,False
2020-03-29,5,False
2020-04-05,8,False
2020-04-12,4,False
2020-04-19,18,False
2020-04-26,0,True
