date,appartement à rénover,isPartial
2018-01-07,20,False
2018-01-14,79,False
2018-01-21,80,False
2018-01-28,41,False
2018-02-04,20,False
2018-02-11,41,False
2018-02-18,21,False
2018-02-25,51,False
2018-03-04,20,False
2018-03-11,31,False
2018-03-18,20,False
2018-03-25,31,False
2018-04-01,63,False
2018-04-08,20,False
2018-04-15,22,False
2018-04-22,42,False
2018-04-29,42,False
2018-05-06,22,False
2018-05-13,20,False
2018-05-20,21,False
2018-05-27,40,False
2018-06-03,30,False
2018-06-10,20,False
2018-06-17,31,False
2018-06-24,31,False
2018-07-01,50,False
2018-07-08,0,False
2018-07-15,44,False
2018-07-22,67,False
2018-07-29,23,False
2018-08-05,67,False
2018-08-12,46,False
2018-08-19,33,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,42,False
2018-09-16,42,False
2018-09-23,0,False
2018-09-30,21,False
2018-10-07,31,False
2018-10-14,52,False
2018-10-21,42,False
2018-10-28,42,False
2018-11-04,20,False
2018-11-11,40,False
2018-11-18,100,False
2018-11-25,61,False
2018-12-02,41,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,24,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,40,False
2019-01-20,29,False
2019-01-27,39,False
2019-02-03,29,False
2019-02-10,31,False
2019-02-17,42,False
2019-02-24,72,False
2019-03-03,50,False
2019-03-10,60,False
2019-03-17,21,False
2019-03-24,42,False
2019-03-31,20,False
2019-04-07,41,False
2019-04-14,42,False
2019-04-21,0,False
2019-04-28,41,False
2019-05-05,60,False
2019-05-12,51,False
2019-05-19,50,False
2019-05-26,20,False
2019-06-02,19,False
2019-06-09,39,False
2019-06-16,61,False
2019-06-23,0,False
2019-06-30,40,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,21,False
2019-07-28,44,False
2019-08-04,43,False
2019-08-11,22,False
2019-08-18,54,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,39,False
2019-09-15,68,False
2019-09-22,46,False
2019-09-29,47,False
2019-10-06,19,False
2019-10-13,56,False
2019-10-20,57,False
2019-10-27,56,False
2019-11-03,27,False
2019-11-10,19,False
2019-11-17,18,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,54,False
2019-12-15,46,False
2019-12-22,51,False
2019-12-29,78,False
2020-01-05,18,False
2020-01-12,70,False
2020-01-19,36,False
2020-01-26,52,False
2020-02-02,18,False
2020-02-09,44,False
2020-02-16,45,False
2020-02-23,26,False
2020-03-01,17,False
2020-03-08,76,False
2020-03-15,16,False
2020-03-22,64,False
2020-03-29,16,False
2020-04-05,39,False
2020-04-12,80,False
2020-04-19,16,False
2020-04-26,22,False
2020-05-03,30,False
2020-05-10,40,False
2020-05-17,49,True
