date,appartement à rénover,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,32,False
2018-01-28,25,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,26,False
2018-02-25,40,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,38,False
2018-03-25,0,False
2018-04-01,53,False
2018-04-08,0,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,26,False
2018-05-06,28,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,25,False
2018-06-10,32,False
2018-06-17,36,False
2018-06-24,0,False
2018-07-01,24,False
2018-07-08,26,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,45,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,37,False
2018-09-16,0,False
2018-09-23,33,False
2018-09-30,0,False
2018-10-07,25,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,37,False
2018-12-02,49,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,29,False
2019-01-06,25,False
2019-01-13,49,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,37,False
2019-02-17,49,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,50,False
2019-03-17,100,False
2019-03-24,26,False
2019-03-31,51,False
2019-04-07,52,False
2019-04-14,53,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,28,False
2019-05-12,40,False
2019-05-19,39,False
2019-05-26,27,False
2019-06-02,0,False
2019-06-09,79,False
2019-06-16,0,False
2019-06-23,26,False
2019-06-30,52,False
2019-07-07,53,False
2019-07-14,29,False
2019-07-21,30,False
2019-07-28,0,False
2019-08-04,66,False
2019-08-11,70,False
2019-08-18,33,False
2019-08-25,0,False
2019-09-01,26,False
2019-09-08,25,False
2019-09-15,75,False
2019-09-22,49,False
2019-09-29,36,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,26,False
2019-10-27,26,False
2019-11-03,49,False
2019-11-10,0,False
2019-11-17,49,False
2019-11-24,0,False
2019-12-01,24,False
2019-12-08,24,False
2019-12-15,0,False
2019-12-22,30,False
2019-12-29,56,False
2020-01-05,36,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,48,False
2020-02-02,36,False
2020-02-09,49,False
2020-02-16,50,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,23,False
2020-03-15,24,False
2020-03-22,25,False
2020-03-29,37,False
2020-04-05,24,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,24,False
2020-05-03,23,False
2020-05-10,39,False
2020-05-17,48,True
