date,Waschmaschine anschließen,isPartial
2018-01-07,22,False
2018-01-14,22,False
2018-01-21,22,False
2018-01-28,44,False
2018-02-04,0,False
2018-02-11,67,False
2018-02-18,37,False
2018-02-25,33,False
2018-03-04,0,False
2018-03-11,22,False
2018-03-18,30,False
2018-03-25,47,False
2018-04-01,39,False
2018-04-08,55,False
2018-04-15,57,False
2018-04-22,22,False
2018-04-29,23,False
2018-05-06,34,False
2018-05-13,65,False
2018-05-20,23,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,30,False
2018-07-01,22,False
2018-07-08,50,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,39,False
2018-08-05,0,False
2018-08-12,23,False
2018-08-19,46,False
2018-08-26,22,False
2018-09-02,45,False
2018-09-09,30,False
2018-09-16,22,False
2018-09-23,38,False
2018-09-30,68,False
2018-10-07,45,False
2018-10-14,46,False
2018-10-21,45,False
2018-10-28,29,False
2018-11-04,85,False
2018-11-11,65,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,21,False
2018-12-09,43,False
2018-12-16,33,False
2018-12-23,37,False
2018-12-30,46,False
2019-01-06,62,False
2019-01-13,20,False
2019-01-20,34,False
2019-01-27,20,False
2019-02-03,31,False
2019-02-10,42,False
2019-02-17,41,False
2019-02-24,21,False
2019-03-03,35,False
2019-03-10,20,False
2019-03-17,43,False
2019-03-24,28,False
2019-03-31,42,False
2019-04-07,28,False
2019-04-14,34,False
2019-04-21,22,False
2019-04-28,57,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,42,False
2019-05-26,75,False
2019-06-02,0,False
2019-06-09,43,False
2019-06-16,64,False
2019-06-23,0,False
2019-06-30,35,False
2019-07-07,28,False
2019-07-14,33,False
2019-07-21,24,False
2019-07-28,57,False
2019-08-04,23,False
2019-08-11,44,False
2019-08-18,22,False
2019-08-25,42,False
2019-09-01,62,False
2019-09-08,21,False
2019-09-15,35,False
2019-09-22,21,False
2019-09-29,28,False
2019-10-06,100,False
2019-10-13,51,False
2019-10-20,21,False
2019-10-27,34,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,58,False
2019-11-24,57,False
2019-12-01,49,False
2019-12-08,19,False
2019-12-15,39,False
2019-12-22,0,False
2019-12-29,57,False
2020-01-05,28,False
2020-01-12,54,False
2020-01-19,19,False
2020-01-26,31,False
2020-02-02,37,False
2020-02-09,42,False
2020-02-16,19,False
2020-02-23,48,False
2020-03-01,18,False
2020-03-08,28,False
2020-03-15,17,False
2020-03-22,25,False
2020-03-29,58,False
2020-04-05,37,False
2020-04-12,26,False
2020-04-19,45,False
2020-04-26,50,False
2020-05-03,25,False
2020-05-10,17,False
