date,Waschmaschine anschließen,isPartial
2018-01-07,0,False
2018-01-14,45,False
2018-01-21,0,False
2018-01-28,78,False
2018-02-04,47,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,31,False
2018-03-04,63,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,33,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,33,False
2018-04-22,32,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,65,False
2018-05-20,35,False
2018-05-27,35,False
2018-06-03,49,False
2018-06-10,63,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,47,False
2018-07-08,63,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,68,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,36,False
2018-08-26,35,False
2018-09-02,100,False
2018-09-09,33,False
2018-09-16,32,False
2018-09-23,32,False
2018-09-30,33,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,31,False
2018-10-28,63,False
2018-11-04,45,False
2018-11-11,61,False
2018-11-18,59,False
2018-11-25,30,False
2018-12-02,30,False
2018-12-09,30,False
2018-12-16,0,False
2018-12-23,55,False
2018-12-30,66,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,85,False
2019-01-27,29,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,45,False
2019-03-10,29,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,30,False
2019-04-07,44,False
2019-04-14,32,False
2019-04-21,32,False
2019-04-28,45,False
2019-05-05,58,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,60,False
2019-07-21,31,False
2019-07-28,48,False
2019-08-04,33,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,44,False
2019-09-01,52,False
2019-09-08,60,False
2019-09-15,30,False
2019-09-22,29,False
2019-09-29,30,False
2019-10-06,38,False
2019-10-13,47,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,83,False
2019-11-10,70,False
2019-11-17,41,False
2019-11-24,55,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,57,False
2019-12-22,65,False
2019-12-29,31,False
2020-01-05,54,False
2020-01-12,26,False
2020-01-19,36,False
2020-01-26,52,False
2020-02-02,53,False
2020-02-09,35,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,39,False
2020-03-08,36,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,36,False
2020-04-05,39,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,23,False
2020-05-03,35,False
2020-05-10,47,False
