date,Waschmaschine anschließen,isPartial
2018-01-07,0,False
2018-01-14,24,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,0,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,37,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,38,False
2018-04-15,52,False
2018-04-22,25,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,50,False
2018-06-17,0,False
2018-06-24,26,False
2018-07-01,40,False
2018-07-08,52,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,24,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,98,False
2018-09-23,100,False
2018-09-30,26,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,24,False
2018-11-11,36,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,0,False
2018-12-16,26,False
2018-12-23,30,False
2018-12-30,54,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,36,False
2019-02-17,36,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,23,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,36,False
2019-04-07,24,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,24,False
2019-06-09,0,False
2019-06-16,25,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,26,False
2019-07-28,26,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,36,False
2019-09-01,23,False
2019-09-08,48,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,24,False
2019-10-13,23,False
2019-10-20,0,False
2019-10-27,45,False
2019-11-03,0,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,0,False
2019-12-01,23,False
2019-12-08,22,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,45,False
2020-01-12,22,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,0,False
2020-03-29,20,False
2020-04-05,44,False
2020-04-12,21,False
2020-04-19,20,False
2020-04-26,0,False
2020-05-03,50,False
2020-05-10,0,False
