date,Sicherheitsschlüssel nachmachen,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,0,False
2018-01-28,65,False
2018-02-04,66,False
2018-02-11,33,False
2018-02-18,50,False
2018-02-25,49,False
2018-03-04,0,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,35,False
2018-04-22,50,False
2018-04-29,35,False
2018-05-06,69,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,34,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,67,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,68,False
2018-07-22,0,False
2018-07-29,51,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,51,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,100,False
2018-09-16,0,False
2018-09-23,67,False
2018-09-30,33,False
2018-10-07,66,False
2018-10-14,67,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,49,False
2018-11-18,31,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,66,False
2018-12-23,57,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,30,False
2019-01-20,90,False
2019-01-27,60,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,79,False
2019-02-24,32,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,0,False
2019-03-24,48,False
2019-03-31,48,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,67,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,0,False
2019-06-23,48,False
2019-06-30,32,False
2019-07-07,31,False
2019-07-14,65,False
2019-07-21,86,False
2019-07-28,0,False
2019-08-04,50,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,62,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,31,False
2019-09-29,0,False
2019-10-06,61,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,57,False
2019-11-10,58,False
2019-11-17,44,False
2019-11-24,29,False
2019-12-01,29,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,27,False
2020-01-19,42,False
2020-01-26,83,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,28,False
2020-02-23,27,False
2020-03-01,54,False
2020-03-08,51,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,25,False
2020-05-03,50,False
2020-05-10,25,False
