date,catering fiestas,isPartial
2018-01-07,48,False
2018-01-14,0,False
2018-01-21,48,False
2018-01-28,36,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,37,False
2018-02-25,35,False
2018-03-04,71,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,24,False
2018-04-08,23,False
2018-04-15,36,False
2018-04-22,24,False
2018-04-29,0,False
2018-05-06,23,False
2018-05-13,24,False
2018-05-20,36,False
2018-05-27,0,False
2018-06-03,23,False
2018-06-10,45,False
2018-06-17,49,False
2018-06-24,49,False
2018-07-01,49,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,38,False
2018-07-29,25,False
2018-08-05,75,False
2018-08-12,65,False
2018-08-19,52,False
2018-08-26,0,False
2018-09-02,47,False
2018-09-09,0,False
2018-09-16,47,False
2018-09-23,0,False
2018-09-30,70,False
2018-10-07,48,False
2018-10-14,46,False
2018-10-21,59,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,46,False
2019-01-20,22,False
2019-01-27,44,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,71,False
2019-02-24,0,False
2019-03-03,36,False
2019-03-10,24,False
2019-03-17,48,False
2019-03-24,48,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,49,False
2019-04-21,23,False
2019-04-28,46,False
2019-05-05,45,False
2019-05-12,69,False
2019-05-19,22,False
2019-05-26,22,False
2019-06-02,33,False
2019-06-09,44,False
2019-06-16,23,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,66,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,42,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,21,False
2019-12-08,33,False
2019-12-15,21,False
2019-12-22,0,False
2019-12-29,70,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,39,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,100,False
2020-02-23,19,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,18,False
2020-03-22,17,False
2020-03-29,17,False
2020-04-05,19,False
2020-04-12,0,True
