date,costume sur mesure homme,isPartial
2018-01-07,82,False
2018-01-14,54,False
2018-01-21,55,False
2018-01-28,55,False
2018-02-04,54,False
2018-02-11,41,False
2018-02-18,42,False
2018-02-25,55,False
2018-03-04,55,False
2018-03-11,84,False
2018-03-18,28,False
2018-03-25,56,False
2018-04-01,57,False
2018-04-08,28,False
2018-04-15,0,False
2018-04-22,72,False
2018-04-29,57,False
2018-05-06,29,False
2018-05-13,28,False
2018-05-20,43,False
2018-05-27,41,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,71,False
2018-06-24,85,False
2018-07-01,28,False
2018-07-08,29,False
2018-07-15,30,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,30,False
2018-08-26,58,False
2018-09-02,29,False
2018-09-09,28,False
2018-09-16,84,False
2018-09-23,29,False
2018-09-30,86,False
2018-10-07,42,False
2018-10-14,43,False
2018-10-21,28,False
2018-10-28,57,False
2018-11-04,41,False
2018-11-11,41,False
2018-11-18,0,False
2018-11-25,55,False
2018-12-02,0,False
2018-12-09,28,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,28,False
2019-01-13,28,False
2019-01-20,40,False
2019-01-27,0,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,28,False
2019-03-03,82,False
2019-03-10,41,False
2019-03-17,86,False
2019-03-24,100,False
2019-03-31,28,False
2019-04-07,57,False
2019-04-14,29,False
2019-04-21,99,False
2019-04-28,69,False
2019-05-05,41,False
2019-05-12,0,False
2019-05-19,54,False
2019-05-26,28,False
2019-06-02,25,False
2019-06-09,27,False
2019-06-16,55,False
2019-06-23,27,False
2019-06-30,41,False
2019-07-07,27,False
2019-07-14,57,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,44,False
2019-08-11,0,False
2019-08-18,87,False
2019-08-25,41,False
2019-09-01,27,False
2019-09-08,40,False
2019-09-15,66,False
2019-09-22,51,False
2019-09-29,38,False
2019-10-06,52,False
2019-10-13,26,False
2019-10-20,39,False
2019-10-27,64,False
2019-11-03,49,False
2019-11-10,63,False
2019-11-17,51,False
2019-11-24,49,False
2019-12-01,62,False
2019-12-08,25,False
2019-12-15,38,False
2019-12-22,57,False
2019-12-29,40,False
2020-01-05,73,False
2020-01-12,47,False
2020-01-19,49,False
2020-01-26,72,False
2020-02-02,48,False
2020-02-09,24,False
2020-02-16,73,False
2020-02-23,47,False
2020-03-01,46,False
2020-03-08,34,False
2020-03-15,22,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,43,True
