date,Betoninstandsetzung,isPartial
2018-01-07,0,False
2018-01-14,25,False
2018-01-21,25,False
2018-01-28,0,False
2018-02-04,35,False
2018-02-11,52,False
2018-02-18,26,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,26,False
2018-03-18,69,False
2018-03-25,28,False
2018-04-01,0,False
2018-04-08,27,False
2018-04-15,54,False
2018-04-22,52,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,53,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,52,False
2018-07-15,80,False
2018-07-22,27,False
2018-07-29,80,False
2018-08-05,0,False
2018-08-12,27,False
2018-08-19,27,False
2018-08-26,27,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,39,False
2018-09-30,26,False
2018-10-07,26,False
2018-10-14,39,False
2018-10-21,26,False
2018-10-28,50,False
2018-11-04,49,False
2018-11-11,26,False
2018-11-18,24,False
2018-11-25,26,False
2018-12-02,62,False
2018-12-09,63,False
2018-12-16,26,False
2018-12-23,30,False
2018-12-30,27,False
2019-01-06,0,False
2019-01-13,47,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,60,False
2019-02-10,37,False
2019-02-17,24,False
2019-02-24,33,False
2019-03-03,0,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,100,False
2019-04-07,24,False
2019-04-14,54,False
2019-04-21,26,False
2019-04-28,72,False
2019-05-05,24,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,50,False
2019-06-23,50,False
2019-06-30,25,False
2019-07-07,49,False
2019-07-14,51,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,25,False
2019-08-18,38,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,25,False
2019-09-15,25,False
2019-09-22,60,False
2019-09-29,24,False
2019-10-06,48,False
2019-10-13,47,False
2019-10-20,47,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,30,False
2019-11-17,38,False
2019-11-24,52,False
2019-12-01,35,False
2019-12-08,34,False
2019-12-15,23,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,66,False
2020-01-12,42,False
2020-01-19,55,False
2020-01-26,43,False
2020-02-02,36,False
2020-02-09,53,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,40,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,26,False
2020-04-05,21,False
2020-04-12,34,False
2020-04-19,20,False
2020-04-26,19,False
2020-05-03,26,False
2020-05-10,26,False
