date,moustiquaire porte,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,12,False
2018-02-04,12,False
2018-02-11,12,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,12,False
2018-03-18,12,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,11,False
2018-04-15,64,False
2018-04-22,26,False
2018-04-29,12,False
2018-05-06,44,False
2018-05-13,30,False
2018-05-20,25,False
2018-05-27,42,False
2018-06-03,48,False
2018-06-10,27,False
2018-06-17,74,False
2018-06-24,44,False
2018-07-01,59,False
2018-07-08,12,False
2018-07-15,12,False
2018-07-22,28,False
2018-07-29,32,False
2018-08-05,23,False
2018-08-12,12,False
2018-08-19,12,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,12,False
2018-09-16,12,False
2018-09-23,12,False
2018-09-30,0,False
2018-10-07,19,False
2018-10-14,13,False
2018-10-21,0,False
2018-10-28,12,False
2018-11-04,0,False
2018-11-11,13,False
2018-11-18,12,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,15,False
2018-12-30,21,False
2019-01-06,13,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,26,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,26,False
2019-03-17,38,False
2019-03-24,19,False
2019-03-31,37,False
2019-04-07,13,False
2019-04-14,17,False
2019-04-21,12,False
2019-04-28,12,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,39,False
2019-06-02,34,False
2019-06-09,33,False
2019-06-16,69,False
2019-06-23,50,False
2019-06-30,57,False
2019-07-07,19,False
2019-07-14,17,False
2019-07-21,28,False
2019-07-28,18,False
2019-08-04,23,False
2019-08-11,16,False
2019-08-18,10,False
2019-08-25,16,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,11,False
2019-09-29,11,False
2019-10-06,11,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,17,False
2019-11-03,11,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,0,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,0,False
2019-12-22,12,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,11,False
2020-01-26,10,False
2020-02-02,10,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,15,False
2020-03-01,15,False
2020-03-08,10,False
2020-03-15,9,False
2020-03-22,13,False
2020-03-29,9,False
2020-04-05,12,False
2020-04-12,39,False
2020-04-19,29,False
2020-04-26,25,False
2020-05-03,56,False
2020-05-10,26,False
2020-05-17,100,False
2020-05-24,95,False
2020-05-31,36,False
2020-06-07,44,False
2020-06-14,22,False
2020-06-21,85,True
