date,moustiquaire porte,isPartial
2018-01-07,3,False
2018-01-14,4,False
2018-01-21,3,False
2018-01-28,3,False
2018-02-04,2,False
2018-02-11,5,False
2018-02-18,3,False
2018-02-25,4,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,2,False
2018-03-25,7,False
2018-04-01,11,False
2018-04-08,13,False
2018-04-15,34,False
2018-04-22,27,False
2018-04-29,26,False
2018-05-06,29,False
2018-05-13,20,False
2018-05-20,24,False
2018-05-27,29,False
2018-06-03,32,False
2018-06-10,29,False
2018-06-17,38,False
2018-06-24,38,False
2018-07-01,46,False
2018-07-08,28,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,32,False
2018-08-05,26,False
2018-08-12,15,False
2018-08-19,13,False
2018-08-26,6,False
2018-09-02,8,False
2018-09-09,6,False
2018-09-16,8,False
2018-09-23,6,False
2018-09-30,6,False
2018-10-07,4,False
2018-10-14,7,False
2018-10-21,3,False
2018-10-28,4,False
2018-11-04,3,False
2018-11-11,4,False
2018-11-18,2,False
2018-11-25,3,False
2018-12-02,2,False
2018-12-09,3,False
2018-12-16,2,False
2018-12-23,4,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,3,False
2019-01-20,2,False
2019-01-27,3,False
2019-02-03,5,False
2019-02-10,7,False
2019-02-17,8,False
2019-02-24,9,False
2019-03-03,7,False
2019-03-10,6,False
2019-03-17,11,False
2019-03-24,15,False
2019-03-31,17,False
2019-04-07,17,False
2019-04-14,24,False
2019-04-21,14,False
2019-04-28,18,False
2019-05-05,19,False
2019-05-12,22,False
2019-05-19,27,False
2019-05-26,35,False
2019-06-02,51,False
2019-06-09,20,False
2019-06-16,50,False
2019-06-23,47,False
2019-06-30,50,False
2019-07-07,29,False
2019-07-14,24,False
2019-07-21,31,False
2019-07-28,18,False
2019-08-04,25,False
2019-08-11,15,False
2019-08-18,12,False
2019-08-25,16,False
2019-09-01,8,False
2019-09-08,8,False
2019-09-15,10,False
2019-09-22,5,False
2019-09-29,8,False
2019-10-06,4,False
2019-10-13,4,False
2019-10-20,6,False
2019-10-27,5,False
2019-11-03,4,False
2019-11-10,4,False
2019-11-17,2,False
2019-11-24,3,False
2019-12-01,3,False
2019-12-08,2,False
2019-12-15,3,False
2019-12-22,2,False
2019-12-29,2,False
2020-01-05,2,False
2020-01-12,2,False
2020-01-19,4,False
2020-01-26,5,False
2020-02-02,8,False
2020-02-09,10,False
2020-02-16,6,False
2020-02-23,5,False
2020-03-01,8,False
2020-03-08,6,False
2020-03-15,11,False
2020-03-22,6,False
2020-03-29,9,False
2020-04-05,35,False
2020-04-12,30,False
2020-04-19,40,False
2020-04-26,45,False
2020-05-03,77,False
2020-05-10,42,False
2020-05-17,100,False
2020-05-24,92,False
2020-05-31,62,False
2020-06-07,46,False
2020-06-14,45,False
2020-06-21,57,True
