date,moustiquaire porte,isPartial
2018-01-07,19,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,20,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,19,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,20,False
2018-04-08,18,False
2018-04-15,50,False
2018-04-22,27,False
2018-04-29,19,False
2018-05-06,19,False
2018-05-13,19,False
2018-05-20,30,False
2018-05-27,19,False
2018-06-03,26,False
2018-06-10,19,False
2018-06-17,47,False
2018-06-24,26,False
2018-07-01,25,False
2018-07-08,43,False
2018-07-15,38,False
2018-07-22,18,False
2018-07-29,18,False
2018-08-05,17,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,29,False
2018-09-16,20,False
2018-09-23,0,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,20,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,20,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,20,False
2019-02-24,21,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,21,False
2019-03-31,30,False
2019-04-07,30,False
2019-04-14,19,False
2019-04-21,19,False
2019-04-28,30,False
2019-05-05,19,False
2019-05-12,29,False
2019-05-19,32,False
2019-05-26,58,False
2019-06-02,43,False
2019-06-09,46,False
2019-06-16,65,False
2019-06-23,51,False
2019-06-30,31,False
2019-07-07,41,False
2019-07-14,18,False
2019-07-21,34,False
2019-07-28,25,False
2019-08-04,38,False
2019-08-11,41,False
2019-08-18,31,False
2019-08-25,15,False
2019-09-01,18,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,18,False
2019-10-06,0,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,20,False
2019-12-29,0,False
2020-01-05,17,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,34,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,24,False
2020-04-12,19,False
2020-04-19,0,False
2020-04-26,40,False
2020-05-03,100,False
2020-05-10,46,False
2020-05-17,93,False
2020-05-24,72,False
2020-05-31,68,False
2020-06-07,88,False
2020-06-14,53,False
2020-06-21,70,True
