date,moustiquaire porte,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,14,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,15,False
2018-02-18,0,False
2018-02-25,15,False
2018-03-04,14,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,30,False
2018-04-08,29,False
2018-04-15,42,False
2018-04-22,15,False
2018-04-29,45,False
2018-05-06,21,False
2018-05-13,24,False
2018-05-20,0,False
2018-05-27,28,False
2018-06-03,35,False
2018-06-10,14,False
2018-06-17,24,False
2018-06-24,58,False
2018-07-01,42,False
2018-07-08,25,False
2018-07-15,32,False
2018-07-22,33,False
2018-07-29,40,False
2018-08-05,30,False
2018-08-12,19,False
2018-08-19,29,False
2018-08-26,15,False
2018-09-02,15,False
2018-09-09,0,False
2018-09-16,14,False
2018-09-23,14,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,41,False
2018-11-18,0,False
2018-11-25,14,False
2018-12-02,14,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,17,False
2019-01-06,14,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,14,False
2019-02-03,13,False
2019-02-10,14,False
2019-02-17,29,False
2019-02-24,15,False
2019-03-03,21,False
2019-03-10,0,False
2019-03-17,22,False
2019-03-24,45,False
2019-03-31,20,False
2019-04-07,23,False
2019-04-14,26,False
2019-04-21,27,False
2019-04-28,24,False
2019-05-05,16,False
2019-05-12,15,False
2019-05-19,20,False
2019-05-26,46,False
2019-06-02,46,False
2019-06-09,20,False
2019-06-16,35,False
2019-06-23,98,False
2019-06-30,15,False
2019-07-07,31,False
2019-07-14,33,False
2019-07-21,26,False
2019-07-28,49,False
2019-08-04,0,False
2019-08-11,20,False
2019-08-18,28,False
2019-08-25,17,False
2019-09-01,15,False
2019-09-08,15,False
2019-09-15,0,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,15,False
2019-10-13,15,False
2019-10-20,15,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,14,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,14,False
2020-02-02,14,False
2020-02-09,14,False
2020-02-16,15,False
2020-02-23,0,False
2020-03-01,13,False
2020-03-08,13,False
2020-03-15,14,False
2020-03-22,14,False
2020-03-29,21,False
2020-04-05,42,False
2020-04-12,24,False
2020-04-19,56,False
2020-04-26,23,False
2020-05-03,31,False
2020-05-10,46,False
2020-05-17,62,False
2020-05-24,100,False
2020-05-31,95,False
2020-06-07,33,False
2020-06-14,41,False
2020-06-21,52,True
