date,foto del matrimonio,isPartial
2018-01-07,5,False
2018-01-14,7,False
2018-01-21,9,False
2018-01-28,9,False
2018-02-04,5,False
2018-02-11,7,False
2018-02-18,4,False
2018-02-25,9,False
2018-03-04,7,False
2018-03-11,7,False
2018-03-18,0,False
2018-03-25,9,False
2018-04-01,5,False
2018-04-08,5,False
2018-04-15,12,False
2018-04-22,0,False
2018-04-29,9,False
2018-05-06,14,False
2018-05-13,52,False
2018-05-20,100,False
2018-05-27,32,False
2018-06-03,23,False
2018-06-10,11,False
2018-06-17,9,False
2018-06-24,19,False
2018-07-01,11,False
2018-07-08,9,False
2018-07-15,5,False
2018-07-22,9,False
2018-07-29,9,False
2018-08-05,15,False
2018-08-12,8,False
2018-08-19,5,False
2018-08-26,9,False
2018-09-02,29,False
2018-09-09,13,False
2018-09-16,9,False
2018-09-23,9,False
2018-09-30,9,False
2018-10-07,9,False
2018-10-14,19,False
2018-10-21,9,False
2018-10-28,7,False
2018-11-04,9,False
2018-11-11,5,False
2018-11-18,9,False
2018-11-25,5,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,5,False
2018-12-30,10,False
2019-01-06,7,False
2019-01-13,9,False
2019-01-20,9,False
2019-01-27,17,False
2019-02-03,6,False
2019-02-10,4,False
2019-02-17,7,False
2019-02-24,7,False
2019-03-03,9,False
2019-03-10,9,False
2019-03-17,9,False
2019-03-24,9,False
2019-03-31,9,False
2019-04-07,7,False
2019-04-14,5,False
2019-04-21,5,False
2019-04-28,5,False
2019-05-05,11,False
2019-05-12,9,False
2019-05-19,9,False
2019-05-26,8,False
2019-06-02,9,False
2019-06-09,0,False
2019-06-16,11,False
2019-06-23,19,False
2019-06-30,14,False
2019-07-07,4,False
2019-07-14,14,False
2019-07-21,7,False
2019-07-28,14,False
2019-08-04,5,False
2019-08-11,10,False
2019-08-18,7,False
2019-08-25,13,False
2019-09-01,4,False
2019-09-08,17,False
2019-09-15,15,False
2019-09-22,10,False
2019-09-29,4,False
2019-10-06,6,False
2019-10-13,11,False
2019-10-20,8,False
2019-10-27,8,False
2019-11-03,0,False
2019-11-10,6,False
2019-11-17,4,False
2019-11-24,4,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,4,False
2019-12-22,5,False
2019-12-29,5,False
2020-01-05,4,False
2020-01-12,12,False
2020-01-19,10,False
2020-01-26,6,False
2020-02-02,6,False
2020-02-09,6,False
2020-02-16,4,False
2020-02-23,4,False
2020-03-01,7,False
2020-03-08,4,False
2020-03-15,5,False
2020-03-22,7,False
2020-03-29,3,False
2020-04-05,5,False
2020-04-12,7,False
2020-04-19,5,False
2020-04-26,7,True
