date,Schiebetorantrieb,isPartial
2018-01-07,24,False
2018-01-14,32,False
2018-01-21,48,False
2018-01-28,24,False
2018-02-04,17,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,16,False
2018-03-04,16,False
2018-03-11,41,False
2018-03-18,16,False
2018-03-25,0,False
2018-04-01,26,False
2018-04-08,25,False
2018-04-15,17,False
2018-04-22,0,False
2018-04-29,43,False
2018-05-06,35,False
2018-05-13,16,False
2018-05-20,53,False
2018-05-27,17,False
2018-06-03,17,False
2018-06-10,32,False
2018-06-17,24,False
2018-06-24,50,False
2018-07-01,17,False
2018-07-08,41,False
2018-07-15,52,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,26,False
2018-08-26,34,False
2018-09-02,100,False
2018-09-09,17,False
2018-09-16,33,False
2018-09-23,25,False
2018-09-30,33,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,16,False
2018-10-28,16,False
2018-11-04,31,False
2018-11-11,24,False
2018-11-18,31,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,16,False
2018-12-16,25,False
2018-12-23,19,False
2018-12-30,17,False
2019-01-06,23,False
2019-01-13,15,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,23,False
2019-02-17,39,False
2019-02-24,48,False
2019-03-03,15,False
2019-03-10,45,False
2019-03-17,16,False
2019-03-24,0,False
2019-03-31,16,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,17,False
2019-04-28,16,False
2019-05-05,31,False
2019-05-12,47,False
2019-05-19,46,False
2019-05-26,24,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,24,False
2019-06-23,16,False
2019-06-30,39,False
2019-07-07,31,False
2019-07-14,16,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,42,False
2019-08-11,32,False
2019-08-18,33,False
2019-08-25,32,False
2019-09-01,46,False
2019-09-08,24,False
2019-09-15,16,False
2019-09-22,30,False
2019-09-29,15,False
2019-10-06,30,False
2019-10-13,37,False
2019-10-20,15,False
2019-10-27,22,False
2019-11-03,14,False
2019-11-10,29,False
2019-11-17,22,False
2019-11-24,29,False
2019-12-01,36,False
2019-12-08,0,False
2019-12-15,15,False
2019-12-22,34,False
2019-12-29,16,False
2020-01-05,35,False
2020-01-12,14,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,21,False
2020-02-09,14,False
2020-02-16,28,False
2020-02-23,14,False
2020-03-01,27,False
2020-03-08,13,False
2020-03-15,12,False
2020-03-22,12,False
2020-03-29,25,False
2020-04-05,21,False
2020-04-12,26,False
2020-04-19,44,False
2020-04-26,49,False
2020-05-03,19,False
2020-05-10,25,False
