date,Sastre,isPartial
2018-01-07,14,False
2018-01-14,28,False
2018-01-21,14,False
2018-01-28,41,False
2018-02-04,40,False
2018-02-11,14,False
2018-02-18,56,False
2018-02-25,14,False
2018-03-04,42,False
2018-03-11,14,False
2018-03-18,41,False
2018-03-25,56,False
2018-04-01,15,False
2018-04-08,14,False
2018-04-15,28,False
2018-04-22,41,False
2018-04-29,14,False
2018-05-06,27,False
2018-05-13,56,False
2018-05-20,14,False
2018-05-27,0,False
2018-06-03,13,False
2018-06-10,13,False
2018-06-17,44,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,14,False
2018-07-15,13,False
2018-07-22,14,False
2018-07-29,0,False
2018-08-05,13,False
2018-08-12,14,False
2018-08-19,54,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,28,False
2018-09-30,14,False
2018-10-07,0,False
2018-10-14,41,False
2018-10-21,42,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,14,False
2018-11-18,13,False
2018-11-25,28,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,15,False
2019-01-06,14,False
2019-01-13,40,False
2019-01-20,0,False
2019-01-27,13,False
2019-02-03,0,False
2019-02-10,14,False
2019-02-17,27,False
2019-02-24,14,False
2019-03-03,28,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,14,False
2019-03-31,13,False
2019-04-07,41,False
2019-04-14,14,False
2019-04-21,13,False
2019-04-28,67,False
2019-05-05,13,False
2019-05-12,13,False
2019-05-19,13,False
2019-05-26,0,False
2019-06-02,13,False
2019-06-09,13,False
2019-06-16,27,False
2019-06-23,13,False
2019-06-30,41,False
2019-07-07,14,False
2019-07-14,0,False
2019-07-21,39,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,26,False
2019-08-18,0,False
2019-08-25,100,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,13,False
2019-10-13,24,False
2019-10-20,50,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,85,False
2019-11-17,12,False
2019-11-24,48,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,24,False
2019-12-22,13,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,46,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,12,False
2020-02-16,0,False
2020-02-23,11,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,10,False
2020-03-22,29,False
2020-03-29,10,False
2020-04-05,0,False
2020-04-12,17,True
