date,Entsorgung Sperrmüll,isPartial
2018-01-07,48,False
2018-01-14,32,False
2018-01-21,65,False
2018-01-28,32,False
2018-02-04,67,False
2018-02-11,33,False
2018-02-18,65,False
2018-02-25,64,False
2018-03-04,65,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,65,False
2018-04-15,33,False
2018-04-22,80,False
2018-04-29,67,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,51,False
2018-05-27,49,False
2018-06-03,43,False
2018-06-10,62,False
2018-06-17,47,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,50,False
2018-07-22,34,False
2018-07-29,52,False
2018-08-05,34,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,66,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,33,False
2018-09-23,50,False
2018-09-30,50,False
2018-10-07,33,False
2018-10-14,0,False
2018-10-21,67,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,96,False
2018-11-18,31,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,64,False
2018-12-23,73,False
2018-12-30,34,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,60,False
2019-01-27,30,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,61,False
2019-02-24,31,False
2019-03-03,30,False
2019-03-10,40,False
2019-03-17,31,False
2019-03-24,42,False
2019-03-31,31,False
2019-04-07,62,False
2019-04-14,51,False
2019-04-21,83,False
2019-04-28,31,False
2019-05-05,30,False
2019-05-12,47,False
2019-05-19,0,False
2019-05-26,31,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,47,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,61,False
2019-07-14,32,False
2019-07-21,35,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,49,False
2019-08-18,49,False
2019-08-25,31,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,76,False
2019-09-29,31,False
2019-10-06,30,False
2019-10-13,61,False
2019-10-20,61,False
2019-10-27,30,False
2019-11-03,57,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,58,False
2019-12-15,29,False
2019-12-22,67,False
2019-12-29,32,False
2020-01-05,41,False
2020-01-12,53,False
2020-01-19,28,False
2020-01-26,41,False
2020-02-02,54,False
2020-02-09,26,False
2020-02-16,55,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,100,False
2020-03-15,33,False
2020-03-22,50,False
2020-03-29,25,False
2020-04-05,63,False
2020-04-12,64,False
2020-04-19,99,False
2020-04-26,32,False
2020-05-03,58,False
2020-05-10,37,False
