date,programme alimentaire perte de poids,isPartial
2018-01-07,0,False
2018-01-14,31,False
2018-01-21,61,False
2018-01-28,62,False
2018-02-04,61,False
2018-02-11,31,False
2018-02-18,32,False
2018-02-25,63,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,63,False
2018-03-25,63,False
2018-04-01,32,False
2018-04-08,31,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,64,False
2018-05-06,33,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,63,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,35,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,48,False
2018-09-16,32,False
2018-09-23,64,False
2018-09-30,32,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,31,False
2018-11-18,31,False
2018-11-25,31,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,48,False
2018-12-23,0,False
2018-12-30,51,False
2019-01-06,46,False
2019-01-13,62,False
2019-01-20,45,False
2019-01-27,40,False
2019-02-03,30,False
2019-02-10,47,False
2019-02-17,80,False
2019-02-24,32,False
2019-03-03,41,False
2019-03-10,62,False
2019-03-17,0,False
2019-03-24,48,False
2019-03-31,46,False
2019-04-07,47,False
2019-04-14,32,False
2019-04-21,64,False
2019-04-28,31,False
2019-05-05,31,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,59,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,64,False
2019-07-21,32,False
2019-07-28,100,False
2019-08-04,33,False
2019-08-11,66,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,59,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,29,False
2019-11-03,70,False
2019-11-10,0,False
2019-11-17,42,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,32,False
2019-12-29,60,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,37,False
2020-01-26,0,False
2020-02-02,27,False
2020-02-09,54,False
2020-02-16,55,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,52,False
2020-03-15,49,False
2020-03-22,36,False
2020-03-29,24,False
2020-04-05,40,False
2020-04-12,33,False
2020-04-19,0,False
2020-04-26,46,False
2020-05-03,46,False
2020-05-10,24,False
2020-05-17,89,True
