date,musica elettronica,isPartial
2018-01-07,33,False
2018-01-14,0,False
2018-01-21,66,False
2018-01-28,47,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,46,False
2018-03-11,61,False
2018-03-18,0,False
2018-03-25,48,False
2018-04-01,50,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,31,False
2018-05-06,31,False
2018-05-13,95,False
2018-05-20,31,False
2018-05-27,32,False
2018-06-03,93,False
2018-06-10,30,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,75,False
2018-07-15,62,False
2018-07-22,61,False
2018-07-29,48,False
2018-08-05,49,False
2018-08-12,33,False
2018-08-19,33,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,61,False
2018-09-16,60,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,64,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,32,False
2018-11-25,31,False
2018-12-02,65,False
2018-12-09,0,False
2018-12-16,34,False
2018-12-23,98,False
2018-12-30,36,False
2019-01-06,100,False
2019-01-13,0,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,62,False
2019-02-10,47,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,65,False
2019-03-10,32,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,31,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,30,False
2019-05-05,30,False
2019-05-12,30,False
2019-05-19,30,False
2019-05-26,29,False
2019-06-02,62,False
2019-06-09,30,False
2019-06-16,32,False
2019-06-23,33,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,77,False
2019-07-21,32,False
2019-07-28,63,False
2019-08-04,82,False
2019-08-11,0,False
2019-08-18,95,False
2019-08-25,30,False
2019-09-01,57,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,28,False
2019-09-29,29,False
2019-10-06,0,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,35,False
2019-12-29,65,False
2020-01-05,29,False
2020-01-12,27,False
2020-01-19,28,False
2020-01-26,54,False
2020-02-02,27,False
2020-02-09,42,False
2020-02-16,0,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,74,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,24,False
2020-04-12,25,False
2020-04-19,0,False
2020-04-26,0,True
