date,musica per matrimonio,isPartial
2018-01-07,56,False
2018-01-14,18,False
2018-01-21,45,False
2018-01-28,54,False
2018-02-04,53,False
2018-02-11,27,False
2018-02-18,44,False
2018-02-25,43,False
2018-03-04,70,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,57,False
2018-04-01,58,False
2018-04-08,54,False
2018-04-15,46,False
2018-04-22,38,False
2018-04-29,55,False
2018-05-06,54,False
2018-05-13,54,False
2018-05-20,72,False
2018-05-27,37,False
2018-06-03,73,False
2018-06-10,44,False
2018-06-17,73,False
2018-06-24,92,False
2018-07-01,63,False
2018-07-08,45,False
2018-07-15,37,False
2018-07-22,64,False
2018-07-29,57,False
2018-08-05,39,False
2018-08-12,41,False
2018-08-19,40,False
2018-08-26,56,False
2018-09-02,62,False
2018-09-09,18,False
2018-09-16,44,False
2018-09-23,36,False
2018-09-30,36,False
2018-10-07,36,False
2018-10-14,55,False
2018-10-21,54,False
2018-10-28,53,False
2018-11-04,52,False
2018-11-11,0,False
2018-11-18,35,False
2018-11-25,36,False
2018-12-02,27,False
2018-12-09,18,False
2018-12-16,47,False
2018-12-23,43,False
2018-12-30,29,False
2019-01-06,73,False
2019-01-13,53,False
2019-01-20,60,False
2019-01-27,59,False
2019-02-03,34,False
2019-02-10,17,False
2019-02-17,18,False
2019-02-24,61,False
2019-03-03,27,False
2019-03-10,44,False
2019-03-17,27,False
2019-03-24,63,False
2019-03-31,63,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,58,False
2019-04-28,36,False
2019-05-05,34,False
2019-05-12,17,False
2019-05-19,34,False
2019-05-26,58,False
2019-06-02,36,False
2019-06-09,45,False
2019-06-16,45,False
2019-06-23,37,False
2019-06-30,46,False
2019-07-07,18,False
2019-07-14,100,False
2019-07-21,64,False
2019-07-28,37,False
2019-08-04,19,False
2019-08-11,20,False
2019-08-18,19,False
2019-08-25,69,False
2019-09-01,33,False
2019-09-08,51,False
2019-09-15,58,False
2019-09-22,66,False
2019-09-29,33,False
2019-10-06,17,False
2019-10-13,34,False
2019-10-20,32,False
2019-10-27,50,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,40,False
2019-11-24,32,False
2019-12-01,25,False
2019-12-08,34,False
2019-12-15,17,False
2019-12-22,20,False
2019-12-29,65,False
2020-01-05,25,False
2020-01-12,15,False
2020-01-19,24,False
2020-01-26,31,False
2020-02-02,23,False
2020-02-09,32,False
2020-02-16,16,False
2020-02-23,44,False
2020-03-01,29,False
2020-03-08,14,False
2020-03-15,14,False
2020-03-22,26,False
2020-03-29,41,False
2020-04-05,43,False
2020-04-12,14,False
2020-04-19,13,False
2020-04-26,0,True
