date,Musica per matrimonio,isPartial
2018-01-07,39,False
2018-01-14,19,False
2018-01-21,48,False
2018-01-28,38,False
2018-02-04,47,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,37,False
2018-03-04,46,False
2018-03-11,37,False
2018-03-18,38,False
2018-03-25,100,False
2018-04-01,0,False
2018-04-08,48,False
2018-04-15,49,False
2018-04-22,61,False
2018-04-29,68,False
2018-05-06,67,False
2018-05-13,76,False
2018-05-20,48,False
2018-05-27,48,False
2018-06-03,19,False
2018-06-10,28,False
2018-06-17,95,False
2018-06-24,39,False
2018-07-01,76,False
2018-07-08,29,False
2018-07-15,49,False
2018-07-22,39,False
2018-07-29,60,False
2018-08-05,31,False
2018-08-12,21,False
2018-08-19,74,False
2018-08-26,79,False
2018-09-02,84,False
2018-09-09,28,False
2018-09-16,55,False
2018-09-23,47,False
2018-09-30,38,False
2018-10-07,38,False
2018-10-14,49,False
2018-10-21,57,False
2018-10-28,37,False
2018-11-04,55,False
2018-11-11,38,False
2018-11-18,19,False
2018-11-25,38,False
2018-12-02,19,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,46,False
2018-12-30,42,False
2019-01-06,57,False
2019-01-13,47,False
2019-01-20,72,False
2019-01-27,71,False
2019-02-03,36,False
2019-02-10,18,False
2019-02-17,28,False
2019-02-24,37,False
2019-03-03,29,False
2019-03-10,76,False
2019-03-17,38,False
2019-03-24,38,False
2019-03-31,57,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,51,False
2019-04-28,28,False
2019-05-05,46,False
2019-05-12,36,False
2019-05-19,36,False
2019-05-26,53,False
2019-06-02,28,False
2019-06-09,47,False
2019-06-16,47,False
2019-06-23,49,False
2019-06-30,49,False
2019-07-07,28,False
2019-07-14,96,False
2019-07-21,77,False
2019-07-28,49,False
2019-08-04,20,False
2019-08-11,22,False
2019-08-18,40,False
2019-08-25,55,False
2019-09-01,52,False
2019-09-08,64,False
2019-09-15,44,False
2019-09-22,44,False
2019-09-29,35,False
2019-10-06,36,False
2019-10-13,36,False
2019-10-20,35,False
2019-10-27,70,False
2019-11-03,25,False
2019-11-10,26,False
2019-11-17,51,False
2019-11-24,34,False
2019-12-01,36,False
2019-12-08,36,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,79,False
2020-01-05,52,False
2020-01-12,0,False
2020-01-19,42,False
2020-01-26,16,False
2020-02-02,32,False
2020-02-09,25,False
2020-02-16,17,False
2020-02-23,31,False
2020-03-01,31,False
2020-03-08,15,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,30,False
2020-04-12,0,False
2020-04-19,29,False
2020-04-26,50,True
