date,Erdbewegung,isPartial
2018-01-07,49,False
2018-01-14,66,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,33,False
2018-02-25,44,False
2018-03-04,66,False
2018-03-11,66,False
2018-03-18,44,False
2018-03-25,36,False
2018-04-01,53,False
2018-04-08,34,False
2018-04-15,69,False
2018-04-22,78,False
2018-04-29,52,False
2018-05-06,70,False
2018-05-13,33,False
2018-05-20,36,False
2018-05-27,51,False
2018-06-03,33,False
2018-06-10,33,False
2018-06-17,49,False
2018-06-24,34,False
2018-07-01,50,False
2018-07-08,100,False
2018-07-15,34,False
2018-07-22,69,False
2018-07-29,57,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,34,False
2018-08-26,51,False
2018-09-02,51,False
2018-09-09,45,False
2018-09-16,56,False
2018-09-23,45,False
2018-09-30,33,False
2018-10-07,89,False
2018-10-14,45,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,64,False
2018-11-11,33,False
2018-11-18,31,False
2018-11-25,33,False
2018-12-02,53,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,0,False
2018-12-30,34,False
2019-01-06,41,False
2019-01-13,30,False
2019-01-20,45,False
2019-01-27,30,False
2019-02-03,31,False
2019-02-10,63,False
2019-02-17,42,False
2019-02-24,65,False
2019-03-03,78,False
2019-03-10,77,False
2019-03-17,64,False
2019-03-24,63,False
2019-03-31,32,False
2019-04-07,42,False
2019-04-14,52,False
2019-04-21,34,False
2019-04-28,31,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,97,False
2019-06-02,63,False
2019-06-09,32,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,63,False
2019-07-14,55,False
2019-07-21,69,False
2019-07-28,0,False
2019-08-04,34,False
2019-08-11,32,False
2019-08-18,0,False
2019-08-25,43,False
2019-09-01,94,False
2019-09-08,48,False
2019-09-15,85,False
2019-09-22,61,False
2019-09-29,62,False
2019-10-06,46,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,60,False
2019-11-03,48,False
2019-11-10,44,False
2019-11-17,58,False
2019-11-24,29,False
2019-12-01,44,False
2019-12-08,44,False
2019-12-15,50,False
2019-12-22,34,False
2019-12-29,32,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,56,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,41,False
2020-03-01,41,False
2020-03-08,65,False
2020-03-15,38,False
2020-03-22,42,False
2020-03-29,37,False
2020-04-05,28,False
2020-04-12,79,False
2020-04-19,38,False
2020-04-26,37,False
2020-05-03,38,False
2020-05-10,26,False
