date,Brennwert,isPartial
2018-01-07,28,False
2018-01-14,28,False
2018-01-21,55,False
2018-01-28,28,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,28,False
2018-02-25,57,False
2018-03-04,56,False
2018-03-11,28,False
2018-03-18,28,False
2018-03-25,31,False
2018-04-01,31,False
2018-04-08,0,False
2018-04-15,28,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,45,False
2018-05-27,0,False
2018-06-03,28,False
2018-06-10,42,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,30,False
2018-09-02,30,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,0,False
2018-10-07,54,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,29,False
2018-11-04,27,False
2018-11-11,78,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,52,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,33,False
2018-12-30,32,False
2019-01-06,0,False
2019-01-13,41,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,56,False
2019-02-17,28,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,26,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,0,False
2019-04-07,28,False
2019-04-14,62,False
2019-04-21,30,False
2019-04-28,56,False
2019-05-05,54,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,0,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,27,False
2019-09-22,26,False
2019-09-29,26,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,0,False
2019-11-24,24,False
2019-12-01,50,False
2019-12-08,100,False
2019-12-15,26,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,24,False
2020-02-02,26,False
2020-02-09,50,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,23,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,25,False
2020-03-29,0,False
2020-04-05,28,False
2020-04-12,0,False
2020-04-19,52,False
2020-04-26,26,False
2020-05-03,51,False
2020-05-10,0,False
2020-05-17,27,False
2020-05-24,37,False
2020-05-31,25,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,0,False
2020-06-28,25,False
2020-07-05,26,False
