date,fotógrafos,isPartial
2018-01-07,41,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,41,False
2018-02-04,0,False
2018-02-11,40,False
2018-02-18,79,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,41,False
2018-03-25,0,False
2018-04-01,42,False
2018-04-08,39,False
2018-04-15,78,False
2018-04-22,38,False
2018-04-29,78,False
2018-05-06,0,False
2018-05-13,41,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,38,False
2018-06-10,57,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,39,False
2018-07-15,40,False
2018-07-22,0,False
2018-07-29,79,False
2018-08-05,0,False
2018-08-12,39,False
2018-08-19,41,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,38,False
2018-09-30,39,False
2018-10-07,83,False
2018-10-14,74,False
2018-10-21,0,False
2018-10-28,41,False
2018-11-04,0,False
2018-11-11,38,False
2018-11-18,0,False
2018-11-25,41,False
2018-12-02,42,False
2018-12-09,0,False
2018-12-16,41,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,59,False
2019-01-20,37,False
2019-01-27,38,False
2019-02-03,39,False
2019-02-10,79,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,39,False
2019-03-10,41,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,73,False
2019-04-21,40,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,37,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,56,False
2019-06-16,77,False
2019-06-23,40,False
2019-06-30,38,False
2019-07-07,37,False
2019-07-14,0,False
2019-07-21,39,False
2019-07-28,0,False
2019-08-04,57,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,71,False
2019-09-08,0,False
2019-09-15,36,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,37,False
2019-10-13,72,False
2019-10-20,35,False
2019-10-27,71,False
2019-11-03,0,False
2019-11-10,35,False
2019-11-17,35,False
2019-11-24,34,False
2019-12-01,69,False
2019-12-08,55,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,36,False
2020-01-12,50,False
2020-01-19,0,False
2020-01-26,51,False
2020-02-02,100,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,32,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,28,False
2020-04-05,0,False
2020-04-12,0,True
