date,fotógrafos,isPartial
2018-01-07,32,False
2018-01-14,66,False
2018-01-21,100,False
2018-01-28,32,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,46,False
2018-03-11,0,False
2018-03-18,32,False
2018-03-25,36,False
2018-04-01,64,False
2018-04-08,31,False
2018-04-15,33,False
2018-04-22,32,False
2018-04-29,66,False
2018-05-06,64,False
2018-05-13,50,False
2018-05-20,66,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,68,False
2018-06-24,34,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,32,False
2018-08-05,32,False
2018-08-12,98,False
2018-08-19,66,False
2018-08-26,32,False
2018-09-02,64,False
2018-09-09,62,False
2018-09-16,32,False
2018-09-23,64,False
2018-09-30,49,False
2018-10-07,0,False
2018-10-14,46,False
2018-10-21,64,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,32,False
2018-11-18,0,False
2018-11-25,65,False
2018-12-02,35,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,66,False
2019-01-13,31,False
2019-01-20,30,False
2019-01-27,0,False
2019-02-03,33,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,34,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,32,False
2019-03-24,32,False
2019-03-31,31,False
2019-04-07,32,False
2019-04-14,31,False
2019-04-21,31,False
2019-04-28,0,False
2019-05-05,49,False
2019-05-12,49,False
2019-05-19,48,False
2019-05-26,47,False
2019-06-02,31,False
2019-06-09,47,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,95,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,30,False
2019-09-01,90,False
2019-09-08,29,False
2019-09-15,60,False
2019-09-22,30,False
2019-09-29,31,False
2019-10-06,61,False
2019-10-13,29,False
2019-10-20,59,False
2019-10-27,0,False
2019-11-03,57,False
2019-11-10,0,False
2019-11-17,84,False
2019-11-24,42,False
2019-12-01,30,False
2019-12-08,60,False
2019-12-15,42,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,27,False
2020-01-19,26,False
2020-01-26,56,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,94,False
2020-03-29,23,False
2020-04-05,38,False
2020-04-12,32,True
