date,tableau matrimonio,isPartial
2018-01-07,31,False
2018-01-14,15,False
2018-01-21,30,False
2018-01-28,15,False
2018-02-04,52,False
2018-02-11,59,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,14,False
2018-03-25,30,False
2018-04-01,0,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,23,False
2018-04-29,45,False
2018-05-06,29,False
2018-05-13,43,False
2018-05-20,71,False
2018-05-27,43,False
2018-06-03,29,False
2018-06-10,100,False
2018-06-17,30,False
2018-06-24,0,False
2018-07-01,15,False
2018-07-08,0,False
2018-07-15,60,False
2018-07-22,15,False
2018-07-29,16,False
2018-08-05,17,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,16,False
2018-09-02,28,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,14,False
2018-09-30,14,False
2018-10-07,0,False
2018-10-14,42,False
2018-10-21,28,False
2018-10-28,42,False
2018-11-04,20,False
2018-11-11,14,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,14,False
2019-01-13,13,False
2019-01-20,13,False
2019-01-27,0,False
2019-02-03,14,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,14,False
2019-03-03,14,False
2019-03-10,0,False
2019-03-17,28,False
2019-03-24,14,False
2019-03-31,36,False
2019-04-07,28,False
2019-04-14,15,False
2019-04-21,16,False
2019-04-28,29,False
2019-05-05,21,False
2019-05-12,41,False
2019-05-19,27,False
2019-05-26,13,False
2019-06-02,29,False
2019-06-09,21,False
2019-06-16,14,False
2019-06-23,15,False
2019-06-30,0,False
2019-07-07,15,False
2019-07-14,15,False
2019-07-21,15,False
2019-07-28,16,False
2019-08-04,17,False
2019-08-11,0,False
2019-08-18,36,False
2019-08-25,16,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,20,False
2019-10-13,0,False
2019-10-20,13,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,13,False
2019-11-17,25,False
2019-11-24,12,False
2019-12-01,0,False
2019-12-08,13,False
2019-12-15,0,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,20,False
2020-01-12,12,False
2020-01-19,19,False
2020-01-26,24,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,11,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,34,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
