date,Ricamo Punto Croce,isPartial
2018-01-07,32,False
2018-01-14,41,False
2018-01-21,20,False
2018-01-28,61,False
2018-02-04,0,False
2018-02-11,20,False
2018-02-18,60,False
2018-02-25,10,False
2018-03-04,20,False
2018-03-11,90,False
2018-03-18,30,False
2018-03-25,21,False
2018-04-01,44,False
2018-04-08,31,False
2018-04-15,21,False
2018-04-22,65,False
2018-04-29,42,False
2018-05-06,20,False
2018-05-13,31,False
2018-05-20,41,False
2018-05-27,10,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,20,False
2018-06-24,10,False
2018-07-01,20,False
2018-07-08,51,False
2018-07-15,42,False
2018-07-22,21,False
2018-07-29,32,False
2018-08-05,22,False
2018-08-12,12,False
2018-08-19,34,False
2018-08-26,42,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,10,False
2018-09-23,20,False
2018-09-30,30,False
2018-10-07,10,False
2018-10-14,42,False
2018-10-21,50,False
2018-10-28,40,False
2018-11-04,49,False
2018-11-11,31,False
2018-11-18,50,False
2018-11-25,41,False
2018-12-02,10,False
2018-12-09,21,False
2018-12-16,11,False
2018-12-23,24,False
2018-12-30,33,False
2019-01-06,61,False
2019-01-13,30,False
2019-01-20,10,False
2019-01-27,85,False
2019-02-03,39,False
2019-02-10,49,False
2019-02-17,90,False
2019-02-24,10,False
2019-03-03,31,False
2019-03-10,40,False
2019-03-17,31,False
2019-03-24,61,False
2019-03-31,51,False
2019-04-07,20,False
2019-04-14,10,False
2019-04-21,11,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,9,False
2019-06-02,20,False
2019-06-09,30,False
2019-06-16,40,False
2019-06-23,41,False
2019-06-30,31,False
2019-07-07,20,False
2019-07-14,21,False
2019-07-21,10,False
2019-07-28,53,False
2019-08-04,54,False
2019-08-11,23,False
2019-08-18,75,False
2019-08-25,20,False
2019-09-01,37,False
2019-09-08,19,False
2019-09-15,9,False
2019-09-22,9,False
2019-09-29,28,False
2019-10-06,10,False
2019-10-13,38,False
2019-10-20,19,False
2019-10-27,65,False
2019-11-03,27,False
2019-11-10,55,False
2019-11-17,9,False
2019-11-24,27,False
2019-12-01,29,False
2019-12-08,10,False
2019-12-15,19,False
2019-12-22,22,False
2019-12-29,21,False
2020-01-05,9,False
2020-01-12,44,False
2020-01-19,62,False
2020-01-26,44,False
2020-02-02,35,False
2020-02-09,54,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,41,False
2020-03-08,16,False
2020-03-15,32,False
2020-03-22,37,False
2020-03-29,100,False
2020-04-05,16,False
2020-04-12,73,False
2020-04-19,31,False
2020-04-26,27,True
