date,Decke tapezieren,isPartial
2018-01-07,87,False
2018-01-14,42,False
2018-01-21,43,False
2018-01-28,64,False
2018-02-04,44,False
2018-02-11,0,False
2018-02-18,44,False
2018-02-25,43,False
2018-03-04,44,False
2018-03-11,0,False
2018-03-18,43,False
2018-03-25,92,False
2018-04-01,69,False
2018-04-08,43,False
2018-04-15,45,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,45,False
2018-05-13,0,False
2018-05-20,46,False
2018-05-27,44,False
2018-06-03,43,False
2018-06-10,42,False
2018-06-17,63,False
2018-06-24,0,False
2018-07-01,42,False
2018-07-08,41,False
2018-07-15,0,False
2018-07-22,45,False
2018-07-29,46,False
2018-08-05,0,False
2018-08-12,46,False
2018-08-19,45,False
2018-08-26,0,False
2018-09-02,44,False
2018-09-09,44,False
2018-09-16,44,False
2018-09-23,66,False
2018-09-30,67,False
2018-10-07,88,False
2018-10-14,0,False
2018-10-21,44,False
2018-10-28,87,False
2018-11-04,62,False
2018-11-11,43,False
2018-11-18,41,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,42,False
2018-12-16,43,False
2018-12-23,65,False
2018-12-30,45,False
2019-01-06,40,False
2019-01-13,0,False
2019-01-20,39,False
2019-01-27,40,False
2019-02-03,0,False
2019-02-10,41,False
2019-02-17,41,False
2019-02-24,42,False
2019-03-03,41,False
2019-03-10,39,False
2019-03-17,0,False
2019-03-24,63,False
2019-03-31,41,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,44,False
2019-04-28,42,False
2019-05-05,40,False
2019-05-12,0,False
2019-05-19,40,False
2019-05-26,0,False
2019-06-02,41,False
2019-06-09,0,False
2019-06-16,42,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,47,False
2019-07-28,0,False
2019-08-04,46,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,41,False
2019-09-15,84,False
2019-09-22,0,False
2019-09-29,41,False
2019-10-06,60,False
2019-10-13,40,False
2019-10-20,41,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,38,False
2019-11-17,75,False
2019-11-24,37,False
2019-12-01,58,False
2019-12-08,38,False
2019-12-15,38,False
2019-12-22,44,False
2019-12-29,63,False
2020-01-05,37,False
2020-01-12,53,False
2020-01-19,37,False
2020-01-26,72,False
2020-02-02,0,False
2020-02-09,35,False
2020-02-16,36,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,33,False
2020-03-15,100,False
2020-03-22,66,False
2020-03-29,0,False
2020-04-05,36,False
2020-04-12,34,False
2020-04-19,50,False
2020-04-26,65,False
2020-05-03,33,False
2020-05-10,0,False
2020-05-17,79,True
