date,Decke tapezieren,isPartial
2018-01-07,79,False
2018-01-14,29,False
2018-01-21,43,False
2018-01-28,85,False
2018-02-04,74,False
2018-02-11,29,False
2018-02-18,44,False
2018-02-25,87,False
2018-03-04,59,False
2018-03-11,65,False
2018-03-18,66,False
2018-03-25,55,False
2018-04-01,94,False
2018-04-08,23,False
2018-04-15,58,False
2018-04-22,44,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,33,False
2018-05-20,47,False
2018-05-27,45,False
2018-06-03,45,False
2018-06-10,43,False
2018-06-17,65,False
2018-06-24,22,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,91,False
2018-07-22,46,False
2018-07-29,23,False
2018-08-05,53,False
2018-08-12,53,False
2018-08-19,34,False
2018-08-26,23,False
2018-09-02,45,False
2018-09-09,44,False
2018-09-16,81,False
2018-09-23,45,False
2018-09-30,60,False
2018-10-07,100,False
2018-10-14,44,False
2018-10-21,43,False
2018-10-28,79,False
2018-11-04,35,False
2018-11-11,32,False
2018-11-18,42,False
2018-11-25,64,False
2018-12-02,32,False
2018-12-09,22,False
2018-12-16,58,False
2018-12-23,75,False
2018-12-30,38,False
2019-01-06,68,False
2019-01-13,40,False
2019-01-20,70,False
2019-01-27,74,False
2019-02-03,55,False
2019-02-10,76,False
2019-02-17,49,False
2019-02-24,49,False
2019-03-03,62,False
2019-03-10,47,False
2019-03-17,42,False
2019-03-24,49,False
2019-03-31,42,False
2019-04-07,21,False
2019-04-14,46,False
2019-04-21,82,False
2019-04-28,34,False
2019-05-05,54,False
2019-05-12,73,False
2019-05-19,21,False
2019-05-26,35,False
2019-06-02,35,False
2019-06-09,0,False
2019-06-16,50,False
2019-06-23,29,False
2019-06-30,42,False
2019-07-07,63,False
2019-07-14,54,False
2019-07-21,45,False
2019-07-28,44,False
2019-08-04,56,False
2019-08-11,64,False
2019-08-18,97,False
2019-08-25,53,False
2019-09-01,21,False
2019-09-08,28,False
2019-09-15,77,False
2019-09-22,41,False
2019-09-29,55,False
2019-10-06,41,False
2019-10-13,40,False
2019-10-20,100,False
2019-10-27,59,False
2019-11-03,63,False
2019-11-10,38,False
2019-11-17,58,False
2019-11-24,57,False
2019-12-01,52,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,34,False
2019-12-29,70,False
2020-01-05,37,False
2020-01-12,84,False
2020-01-19,31,False
2020-01-26,18,False
2020-02-02,73,False
2020-02-09,48,False
2020-02-16,56,False
2020-02-23,46,False
2020-03-01,60,False
2020-03-08,79,False
2020-03-15,56,False
2020-03-22,39,False
2020-03-29,66,False
2020-04-05,54,False
2020-04-12,35,False
2020-04-19,40,False
2020-04-26,55,False
2020-05-03,33,False
2020-05-10,51,False
2020-05-17,54,True
