date,Alquiler de limusinas,isPartial
2018-01-07,79,False
2018-01-14,60,False
2018-01-21,79,False
2018-01-28,20,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,50,False
2018-02-25,38,False
2018-03-04,58,False
2018-03-11,86,False
2018-03-18,40,False
2018-03-25,44,False
2018-04-01,40,False
2018-04-08,47,False
2018-04-15,59,False
2018-04-22,77,False
2018-04-29,80,False
2018-05-06,29,False
2018-05-13,20,False
2018-05-20,49,False
2018-05-27,39,False
2018-06-03,67,False
2018-06-10,47,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,61,False
2018-07-08,100,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,42,False
2018-08-05,83,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,29,False
2018-09-09,49,False
2018-09-16,48,False
2018-09-23,28,False
2018-09-30,48,False
2018-10-07,59,False
2018-10-14,38,False
2018-10-21,38,False
2018-10-28,50,False
2018-11-04,46,False
2018-11-11,19,False
2018-11-18,46,False
2018-11-25,0,False
2018-12-02,80,False
2018-12-09,30,False
2018-12-16,20,False
2018-12-23,23,False
2018-12-30,22,False
2019-01-06,39,False
2019-01-13,28,False
2019-01-20,54,False
2019-01-27,45,False
2019-02-03,19,False
2019-02-10,29,False
2019-02-17,19,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,29,False
2019-03-17,59,False
2019-03-24,29,False
2019-03-31,55,False
2019-04-07,19,False
2019-04-14,40,False
2019-04-21,38,False
2019-04-28,28,False
2019-05-05,56,False
2019-05-12,38,False
2019-05-19,46,False
2019-05-26,45,False
2019-06-02,45,False
2019-06-09,37,False
2019-06-16,38,False
2019-06-23,49,False
2019-06-30,29,False
2019-07-07,28,False
2019-07-14,99,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,51,False
2019-08-11,20,False
2019-08-18,20,False
2019-08-25,28,False
2019-09-01,27,False
2019-09-08,27,False
2019-09-15,44,False
2019-09-22,35,False
2019-09-29,36,False
2019-10-06,26,False
2019-10-13,34,False
2019-10-20,34,False
2019-10-27,26,False
2019-11-03,42,False
2019-11-10,51,False
2019-11-17,34,False
2019-11-24,66,False
2019-12-01,35,False
2019-12-08,18,False
2019-12-15,17,False
2019-12-22,29,False
2019-12-29,19,False
2020-01-05,52,False
2020-01-12,16,False
2020-01-19,64,False
2020-01-26,25,False
2020-02-02,74,False
2020-02-09,16,False
2020-02-16,33,False
2020-02-23,32,False
2020-03-01,86,False
2020-03-08,62,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,25,True
