date,ramos novia,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,50,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,51,False
2018-02-18,69,False
2018-02-25,66,False
2018-03-04,32,False
2018-03-11,49,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,32,False
2018-04-08,63,False
2018-04-15,33,False
2018-04-22,33,False
2018-04-29,33,False
2018-05-06,49,False
2018-05-13,35,False
2018-05-20,33,False
2018-05-27,33,False
2018-06-03,47,False
2018-06-10,31,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,33,False
2018-07-08,33,False
2018-07-15,33,False
2018-07-22,34,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,32,False
2018-08-19,0,False
2018-08-26,65,False
2018-09-02,64,False
2018-09-09,100,False
2018-09-16,33,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,65,False
2018-10-21,49,False
2018-10-28,34,False
2018-11-04,62,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,0,False
2019-01-13,32,False
2019-01-20,61,False
2019-01-27,31,False
2019-02-03,32,False
2019-02-10,33,False
2019-02-17,0,False
2019-02-24,32,False
2019-03-03,32,False
2019-03-10,33,False
2019-03-17,0,False
2019-03-24,33,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,33,False
2019-04-21,47,False
2019-04-28,32,False
2019-05-05,31,False
2019-05-12,48,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,29,False
2019-06-09,92,False
2019-06-16,92,False
2019-06-23,32,False
2019-06-30,63,False
2019-07-07,63,False
2019-07-14,32,False
2019-07-21,32,False
2019-07-28,64,False
2019-08-04,43,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,32,False
2020-01-05,44,False
2020-01-12,26,False
2020-01-19,28,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,27,False
2020-02-16,0,False
2020-02-23,42,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,51,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
