date,ramos novia,isPartial
2018-01-07,12,False
2018-01-14,31,False
2018-01-21,30,False
2018-01-28,37,False
2018-02-04,30,False
2018-02-11,18,False
2018-02-18,24,False
2018-02-25,29,False
2018-03-04,24,False
2018-03-11,12,False
2018-03-18,37,False
2018-03-25,31,False
2018-04-01,19,False
2018-04-08,24,False
2018-04-15,18,False
2018-04-22,18,False
2018-04-29,12,False
2018-05-06,24,False
2018-05-13,18,False
2018-05-20,12,False
2018-05-27,18,False
2018-06-03,23,False
2018-06-10,23,False
2018-06-17,13,False
2018-06-24,12,False
2018-07-01,36,False
2018-07-08,29,False
2018-07-15,36,False
2018-07-22,36,False
2018-07-29,18,False
2018-08-05,23,False
2018-08-12,12,False
2018-08-19,12,False
2018-08-26,12,False
2018-09-02,35,False
2018-09-09,11,False
2018-09-16,35,False
2018-09-23,35,False
2018-09-30,24,False
2018-10-07,13,False
2018-10-14,11,False
2018-10-21,30,False
2018-10-28,0,False
2018-11-04,12,False
2018-11-11,12,False
2018-11-18,11,False
2018-11-25,12,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,13,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,12,False
2019-01-13,35,False
2019-01-20,17,False
2019-01-27,12,False
2019-02-03,24,False
2019-02-10,0,False
2019-02-17,12,False
2019-02-24,36,False
2019-03-03,12,False
2019-03-10,25,False
2019-03-17,13,False
2019-03-24,24,False
2019-03-31,28,False
2019-04-07,12,False
2019-04-14,22,False
2019-04-21,36,False
2019-04-28,0,False
2019-05-05,18,False
2019-05-12,11,False
2019-05-19,11,False
2019-05-26,11,False
2019-06-02,22,False
2019-06-09,51,False
2019-06-16,100,False
2019-06-23,12,False
2019-06-30,23,False
2019-07-07,28,False
2019-07-14,17,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,12,False
2019-08-11,23,False
2019-08-18,0,False
2019-08-25,11,False
2019-09-01,0,False
2019-09-08,10,False
2019-09-15,11,False
2019-09-22,27,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,0,False
2019-11-03,11,False
2019-11-10,21,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,10,False
2019-12-08,11,False
2019-12-15,11,False
2019-12-22,18,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,31,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,20,False
2020-02-23,29,False
2020-03-01,19,False
2020-03-08,29,False
2020-03-15,9,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,9,False
2020-04-12,16,True
