date,ramos novia,isPartial
2018-01-07,10,False
2018-01-14,22,False
2018-01-21,25,False
2018-01-28,17,False
2018-02-04,25,False
2018-02-11,18,False
2018-02-18,29,False
2018-02-25,34,False
2018-03-04,37,False
2018-03-11,23,False
2018-03-18,11,False
2018-03-25,19,False
2018-04-01,21,False
2018-04-08,27,False
2018-04-15,25,False
2018-04-22,28,False
2018-04-29,29,False
2018-05-06,28,False
2018-05-13,25,False
2018-05-20,35,False
2018-05-27,22,False
2018-06-03,28,False
2018-06-10,34,False
2018-06-17,18,False
2018-06-24,22,False
2018-07-01,18,False
2018-07-08,11,False
2018-07-15,22,False
2018-07-22,33,False
2018-07-29,32,False
2018-08-05,17,False
2018-08-12,35,False
2018-08-19,14,False
2018-08-26,31,False
2018-09-02,35,False
2018-09-09,34,False
2018-09-16,35,False
2018-09-23,27,False
2018-09-30,21,False
2018-10-07,18,False
2018-10-14,20,False
2018-10-21,7,False
2018-10-28,21,False
2018-11-04,27,False
2018-11-11,24,False
2018-11-18,10,False
2018-11-25,7,False
2018-12-02,8,False
2018-12-09,11,False
2018-12-16,7,False
2018-12-23,16,False
2018-12-30,16,False
2019-01-06,7,False
2019-01-13,10,False
2019-01-20,23,False
2019-01-27,10,False
2019-02-03,32,False
2019-02-10,24,False
2019-02-17,28,False
2019-02-24,30,False
2019-03-03,7,False
2019-03-10,22,False
2019-03-17,25,False
2019-03-24,21,False
2019-03-31,20,False
2019-04-07,21,False
2019-04-14,7,False
2019-04-21,17,False
2019-04-28,10,False
2019-05-05,25,False
2019-05-12,11,False
2019-05-19,21,False
2019-05-26,10,False
2019-06-02,31,False
2019-06-09,92,False
2019-06-16,100,False
2019-06-23,21,False
2019-06-30,52,False
2019-07-07,28,False
2019-07-14,25,False
2019-07-21,14,False
2019-07-28,21,False
2019-08-04,17,False
2019-08-11,24,False
2019-08-18,33,False
2019-08-25,26,False
2019-09-01,23,False
2019-09-08,13,False
2019-09-15,36,False
2019-09-22,33,False
2019-09-29,10,False
2019-10-06,16,False
2019-10-13,19,False
2019-10-20,16,False
2019-10-27,29,False
2019-11-03,22,False
2019-11-10,16,False
2019-11-17,15,False
2019-11-24,0,False
2019-12-01,6,False
2019-12-08,13,False
2019-12-15,12,False
2019-12-22,14,False
2019-12-29,7,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,14,False
2020-01-26,18,False
2020-02-02,36,False
2020-02-09,6,False
2020-02-16,21,False
2020-02-23,18,False
2020-03-01,15,False
2020-03-08,17,False
2020-03-15,8,False
2020-03-22,5,False
2020-03-29,10,False
2020-04-05,6,False
2020-04-12,0,True
