date,ramos novia,isPartial
2018-01-07,7,False
2018-01-14,23,False
2018-01-21,16,False
2018-01-28,30,False
2018-02-04,23,False
2018-02-11,17,False
2018-02-18,10,False
2018-02-25,23,False
2018-03-04,20,False
2018-03-11,19,False
2018-03-18,24,False
2018-03-25,9,False
2018-04-01,10,False
2018-04-08,16,False
2018-04-15,36,False
2018-04-22,10,False
2018-04-29,22,False
2018-05-06,10,False
2018-05-13,24,False
2018-05-20,20,False
2018-05-27,38,False
2018-06-03,16,False
2018-06-10,23,False
2018-06-17,21,False
2018-06-24,18,False
2018-07-01,26,False
2018-07-08,26,False
2018-07-15,28,False
2018-07-22,32,False
2018-07-29,25,False
2018-08-05,18,False
2018-08-12,10,False
2018-08-19,14,False
2018-08-26,24,False
2018-09-02,14,False
2018-09-09,27,False
2018-09-16,19,False
2018-09-23,13,False
2018-09-30,16,False
2018-10-07,14,False
2018-10-14,13,False
2018-10-21,19,False
2018-10-28,17,False
2018-11-04,11,False
2018-11-11,27,False
2018-11-18,18,False
2018-11-25,23,False
2018-12-02,13,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,8,False
2018-12-30,14,False
2019-01-06,27,False
2019-01-13,9,False
2019-01-20,15,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,25,False
2019-02-17,28,False
2019-02-24,17,False
2019-03-03,13,False
2019-03-10,19,False
2019-03-17,19,False
2019-03-24,20,False
2019-03-31,19,False
2019-04-07,31,False
2019-04-14,16,False
2019-04-21,22,False
2019-04-28,13,False
2019-05-05,37,False
2019-05-12,22,False
2019-05-19,19,False
2019-05-26,24,False
2019-06-02,18,False
2019-06-09,53,False
2019-06-16,100,False
2019-06-23,30,False
2019-06-30,20,False
2019-07-07,16,False
2019-07-14,7,False
2019-07-21,14,False
2019-07-28,16,False
2019-08-04,13,False
2019-08-11,9,False
2019-08-18,18,False
2019-08-25,23,False
2019-09-01,42,False
2019-09-08,18,False
2019-09-15,20,False
2019-09-22,18,False
2019-09-29,15,False
2019-10-06,20,False
2019-10-13,6,False
2019-10-20,12,False
2019-10-27,6,False
2019-11-03,6,False
2019-11-10,8,False
2019-11-17,17,False
2019-11-24,11,False
2019-12-01,12,False
2019-12-08,0,False
2019-12-15,17,False
2019-12-22,14,False
2019-12-29,14,False
2020-01-05,12,False
2020-01-12,11,False
2020-01-19,24,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,25,False
2020-02-16,22,False
2020-02-23,14,False
2020-03-01,16,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,10,False
2020-03-29,5,False
2020-04-05,5,False
2020-04-12,9,True
