date,Sanitär Heizung,isPartial
2018-01-07,57,False
2018-01-14,28,False
2018-01-21,28,False
2018-01-28,71,False
2018-02-04,39,False
2018-02-11,0,False
2018-02-18,49,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,30,False
2018-03-25,63,False
2018-04-01,31,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,60,False
2018-04-29,31,False
2018-05-06,0,False
2018-05-13,50,False
2018-05-20,30,False
2018-05-27,45,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,30,False
2018-06-24,30,False
2018-07-01,0,False
2018-07-08,30,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,59,False
2018-08-05,29,False
2018-08-12,60,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,30,False
2018-09-16,30,False
2018-09-23,30,False
2018-09-30,0,False
2018-10-07,93,False
2018-10-14,30,False
2018-10-21,39,False
2018-10-28,58,False
2018-11-04,0,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,43,False
2018-12-02,28,False
2018-12-09,43,False
2018-12-16,0,False
2018-12-23,47,False
2018-12-30,43,False
2019-01-06,0,False
2019-01-13,40,False
2019-01-20,40,False
2019-01-27,36,False
2019-02-03,27,False
2019-02-10,28,False
2019-02-17,28,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,54,False
2019-03-17,29,False
2019-03-24,67,False
2019-03-31,28,False
2019-04-07,28,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,26,False
2019-05-12,29,False
2019-05-19,0,False
2019-05-26,28,False
2019-06-02,28,False
2019-06-09,42,False
2019-06-16,29,False
2019-06-23,87,False
2019-06-30,58,False
2019-07-07,43,False
2019-07-14,58,False
2019-07-21,31,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,27,False
2019-08-18,42,False
2019-08-25,45,False
2019-09-01,28,False
2019-09-08,37,False
2019-09-15,28,False
2019-09-22,80,False
2019-09-29,36,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,26,False
2019-10-27,76,False
2019-11-03,100,False
2019-11-10,51,False
2019-11-17,50,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,34,False
2019-12-22,41,False
2019-12-29,26,False
2020-01-05,65,False
2020-01-12,24,False
2020-01-19,41,False
2020-01-26,40,False
2020-02-02,24,False
2020-02-09,35,False
2020-02-16,33,False
2020-02-23,35,False
2020-03-01,35,False
2020-03-08,22,False
2020-03-15,43,False
2020-03-22,31,False
2020-03-29,21,False
2020-04-05,23,False
2020-04-12,22,False
2020-04-19,54,False
2020-04-26,20,False
2020-05-03,43,False
2020-05-10,36,False
