date,shooting fotografico,isPartial
2018-01-07,50,False
2018-01-14,25,False
2018-01-21,49,False
2018-01-28,12,False
2018-02-04,12,False
2018-02-11,25,False
2018-02-18,36,False
2018-02-25,12,False
2018-03-04,24,False
2018-03-11,48,False
2018-03-18,48,False
2018-03-25,51,False
2018-04-01,53,False
2018-04-08,37,False
2018-04-15,37,False
2018-04-22,78,False
2018-04-29,88,False
2018-05-06,24,False
2018-05-13,37,False
2018-05-20,37,False
2018-05-27,25,False
2018-06-03,0,False
2018-06-10,59,False
2018-06-17,12,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,37,False
2018-07-15,25,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,0,False
2018-08-19,14,False
2018-08-26,50,False
2018-09-02,36,False
2018-09-09,48,False
2018-09-16,59,False
2018-09-23,48,False
2018-09-30,48,False
2018-10-07,25,False
2018-10-14,75,False
2018-10-21,48,False
2018-10-28,12,False
2018-11-04,12,False
2018-11-11,62,False
2018-11-18,36,False
2018-11-25,49,False
2018-12-02,25,False
2018-12-09,12,False
2018-12-16,26,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,12,False
2019-01-13,36,False
2019-01-20,23,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,23,False
2019-02-17,84,False
2019-02-24,59,False
2019-03-03,50,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,73,False
2019-03-31,49,False
2019-04-07,12,False
2019-04-14,0,False
2019-04-21,65,False
2019-04-28,36,False
2019-05-05,47,False
2019-05-12,58,False
2019-05-19,46,False
2019-05-26,45,False
2019-06-02,24,False
2019-06-09,24,False
2019-06-16,61,False
2019-06-23,25,False
2019-06-30,12,False
2019-07-07,36,False
2019-07-14,25,False
2019-07-21,62,False
2019-07-28,63,False
2019-08-04,26,False
2019-08-11,28,False
2019-08-18,90,False
2019-08-25,59,False
2019-09-01,22,False
2019-09-08,46,False
2019-09-15,34,False
2019-09-22,34,False
2019-09-29,46,False
2019-10-06,23,False
2019-10-13,34,False
2019-10-20,100,False
2019-10-27,34,False
2019-11-03,54,False
2019-11-10,44,False
2019-11-17,76,False
2019-11-24,76,False
2019-12-01,23,False
2019-12-08,46,False
2019-12-15,46,False
2019-12-22,40,False
2019-12-29,38,False
2020-01-05,45,False
2020-01-12,53,False
2020-01-19,11,False
2020-01-26,42,False
2020-02-02,31,False
2020-02-09,43,False
2020-02-16,32,False
2020-02-23,30,False
2020-03-01,69,False
2020-03-08,38,False
2020-03-15,10,False
2020-03-22,27,False
2020-03-29,9,False
2020-04-05,29,False
2020-04-12,10,False
2020-04-19,37,False
2020-04-26,32,True
