date,cours anglais adulte,isPartial
2018-01-07,37,False
2018-01-14,48,False
2018-01-21,37,False
2018-01-28,62,False
2018-02-04,49,False
2018-02-11,62,False
2018-02-18,25,False
2018-02-25,33,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,50,False
2018-03-25,42,False
2018-04-01,42,False
2018-04-08,50,False
2018-04-15,80,False
2018-04-22,25,False
2018-04-29,26,False
2018-05-06,53,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,37,False
2018-06-03,50,False
2018-06-10,24,False
2018-06-17,38,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,26,False
2018-07-15,63,False
2018-07-22,81,False
2018-07-29,82,False
2018-08-05,41,False
2018-08-12,28,False
2018-08-19,63,False
2018-08-26,78,False
2018-09-02,89,False
2018-09-09,51,False
2018-09-16,42,False
2018-09-23,42,False
2018-09-30,25,False
2018-10-07,51,False
2018-10-14,38,False
2018-10-21,43,False
2018-10-28,34,False
2018-11-04,25,False
2018-11-11,49,False
2018-11-18,24,False
2018-11-25,41,False
2018-12-02,100,False
2018-12-09,63,False
2018-12-16,26,False
2018-12-23,44,False
2018-12-30,55,False
2019-01-06,62,False
2019-01-13,50,False
2019-01-20,56,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,38,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,38,False
2019-03-31,33,False
2019-04-07,51,False
2019-04-14,26,False
2019-04-21,50,False
2019-04-28,25,False
2019-05-05,33,False
2019-05-12,62,False
2019-05-19,36,False
2019-05-26,25,False
2019-06-02,34,False
2019-06-09,36,False
2019-06-16,49,False
2019-06-23,85,False
2019-06-30,49,False
2019-07-07,49,False
2019-07-14,51,False
2019-07-21,43,False
2019-07-28,79,False
2019-08-04,53,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,98,False
2019-09-01,55,False
2019-09-08,32,False
2019-09-15,24,False
2019-09-22,34,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,35,False
2019-10-20,39,False
2019-10-27,34,False
2019-11-03,45,False
2019-11-10,38,False
2019-11-17,34,False
2019-11-24,44,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,30,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,32,False
2020-01-19,36,False
2020-01-26,32,False
2020-02-02,22,False
2020-02-09,32,False
2020-02-16,22,False
2020-02-23,21,False
2020-03-01,84,False
2020-03-08,21,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,29,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,18,False
2020-05-03,0,False
2020-05-10,19,False
2020-05-17,24,True
