date,video sposi,isPartial
2018-01-07,34,False
2018-01-14,42,False
2018-01-21,17,False
2018-01-28,25,False
2018-02-04,66,False
2018-02-11,25,False
2018-02-18,49,False
2018-02-25,40,False
2018-03-04,24,False
2018-03-11,66,False
2018-03-18,25,False
2018-03-25,35,False
2018-04-01,45,False
2018-04-08,50,False
2018-04-15,17,False
2018-04-22,62,False
2018-04-29,42,False
2018-05-06,84,False
2018-05-13,100,False
2018-05-20,50,False
2018-05-27,34,False
2018-06-03,85,False
2018-06-10,32,False
2018-06-17,67,False
2018-06-24,25,False
2018-07-01,42,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,17,False
2018-07-29,26,False
2018-08-05,54,False
2018-08-12,38,False
2018-08-19,46,False
2018-08-26,69,False
2018-09-02,33,False
2018-09-09,57,False
2018-09-16,56,False
2018-09-23,82,False
2018-09-30,57,False
2018-10-07,42,False
2018-10-14,26,False
2018-10-21,58,False
2018-10-28,25,False
2018-11-04,32,False
2018-11-11,83,False
2018-11-18,25,False
2018-11-25,16,False
2018-12-02,42,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,46,False
2019-01-06,50,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,47,False
2019-02-10,64,False
2019-02-17,0,False
2019-02-24,16,False
2019-03-03,51,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,58,False
2019-04-07,33,False
2019-04-14,17,False
2019-04-21,18,False
2019-04-28,58,False
2019-05-05,64,False
2019-05-12,80,False
2019-05-19,79,False
2019-05-26,54,False
2019-06-02,49,False
2019-06-09,74,False
2019-06-16,25,False
2019-06-23,51,False
2019-06-30,51,False
2019-07-07,16,False
2019-07-14,42,False
2019-07-21,17,False
2019-07-28,26,False
2019-08-04,18,False
2019-08-11,37,False
2019-08-18,35,False
2019-08-25,40,False
2019-09-01,53,False
2019-09-08,63,False
2019-09-15,38,False
2019-09-22,31,False
2019-09-29,23,False
2019-10-06,16,False
2019-10-13,23,False
2019-10-20,15,False
2019-10-27,46,False
2019-11-03,15,False
2019-11-10,45,False
2019-11-17,15,False
2019-11-24,15,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,34,False
2020-01-05,23,False
2020-01-12,14,False
2020-01-19,29,False
2020-01-26,36,False
2020-02-02,35,False
2020-02-09,44,False
2020-02-16,43,False
2020-02-23,41,False
2020-03-01,47,False
2020-03-08,59,False
2020-03-15,46,False
2020-03-22,61,False
2020-03-29,25,False
2020-04-05,26,False
2020-04-12,60,False
2020-04-19,31,False
2020-04-26,44,True
