date,entreprise plomberie,isPartial
2018-01-07,100,False
2018-01-14,37,False
2018-01-21,36,False
2018-01-28,67,False
2018-02-04,42,False
2018-02-11,28,False
2018-02-18,20,False
2018-02-25,32,False
2018-03-04,55,False
2018-03-11,28,False
2018-03-18,38,False
2018-03-25,25,False
2018-04-01,29,False
2018-04-08,49,False
2018-04-15,40,False
2018-04-22,20,False
2018-04-29,67,False
2018-05-06,47,False
2018-05-13,19,False
2018-05-20,32,False
2018-05-27,67,False
2018-06-03,66,False
2018-06-10,59,False
2018-06-17,18,False
2018-06-24,28,False
2018-07-01,30,False
2018-07-08,44,False
2018-07-15,21,False
2018-07-22,31,False
2018-07-29,37,False
2018-08-05,23,False
2018-08-12,48,False
2018-08-19,37,False
2018-08-26,73,False
2018-09-02,56,False
2018-09-09,43,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,43,False
2018-10-07,36,False
2018-10-14,29,False
2018-10-21,60,False
2018-10-28,39,False
2018-11-04,60,False
2018-11-11,64,False
2018-11-18,30,False
2018-11-25,55,False
2018-12-02,24,False
2018-12-09,25,False
2018-12-16,32,False
2018-12-23,31,False
2018-12-30,21,False
2019-01-06,46,False
2019-01-13,55,False
2019-01-20,48,False
2019-01-27,24,False
2019-02-03,34,False
2019-02-10,60,False
2019-02-17,55,False
2019-02-24,25,False
2019-03-03,36,False
2019-03-10,28,False
2019-03-17,47,False
2019-03-24,90,False
2019-03-31,47,False
2019-04-07,26,False
2019-04-14,49,False
2019-04-21,21,False
2019-04-28,21,False
2019-05-05,67,False
2019-05-12,45,False
2019-05-19,45,False
2019-05-26,33,False
2019-06-02,58,False
2019-06-09,51,False
2019-06-16,58,False
2019-06-23,26,False
2019-06-30,52,False
2019-07-07,40,False
2019-07-14,42,False
2019-07-21,56,False
2019-07-28,39,False
2019-08-04,25,False
2019-08-11,52,False
2019-08-18,32,False
2019-08-25,53,False
2019-09-01,45,False
2019-09-08,25,False
2019-09-15,75,False
2019-09-22,73,False
2019-09-29,48,False
2019-10-06,62,False
2019-10-13,50,False
2019-10-20,86,False
2019-10-27,39,False
2019-11-03,48,False
2019-11-10,31,False
2019-11-17,43,False
2019-11-24,42,False
2019-12-01,58,False
2019-12-08,24,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,52,False
2020-01-05,41,False
2020-01-12,65,False
2020-01-19,49,False
2020-01-26,44,False
2020-02-02,36,False
2020-02-09,24,False
2020-02-16,25,False
2020-02-23,52,False
2020-03-01,45,False
2020-03-08,40,False
2020-03-15,18,False
2020-03-22,36,False
2020-03-29,0,False
2020-04-05,27,False
2020-04-12,18,False
2020-04-19,42,False
2020-04-26,47,False
2020-05-03,25,False
2020-05-10,35,False
2020-05-17,84,True
