date,Einkaufsservice,isPartial
2018-01-07,5,False
2018-01-14,16,False
2018-01-21,8,False
2018-01-28,5,False
2018-02-04,6,False
2018-02-11,6,False
2018-02-18,11,False
2018-02-25,11,False
2018-03-04,11,False
2018-03-11,5,False
2018-03-18,6,False
2018-03-25,6,False
2018-04-01,12,False
2018-04-08,17,False
2018-04-15,12,False
2018-04-22,11,False
2018-04-29,12,False
2018-05-06,9,False
2018-05-13,6,False
2018-05-20,9,False
2018-05-27,14,False
2018-06-03,6,False
2018-06-10,13,False
2018-06-17,5,False
2018-06-24,6,False
2018-07-01,6,False
2018-07-08,6,False
2018-07-15,12,False
2018-07-22,6,False
2018-07-29,6,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,11,False
2018-08-26,6,False
2018-09-02,11,False
2018-09-09,7,False
2018-09-16,6,False
2018-09-23,11,False
2018-09-30,11,False
2018-10-07,8,False
2018-10-14,6,False
2018-10-21,11,False
2018-10-28,5,False
2018-11-04,5,False
2018-11-11,11,False
2018-11-18,11,False
2018-11-25,11,False
2018-12-02,11,False
2018-12-09,14,False
2018-12-16,7,False
2018-12-23,10,False
2018-12-30,13,False
2019-01-06,12,False
2019-01-13,0,False
2019-01-20,10,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,21,False
2019-02-17,16,False
2019-02-24,5,False
2019-03-03,7,False
2019-03-10,8,False
2019-03-17,19,False
2019-03-24,9,False
2019-03-31,13,False
2019-04-07,5,False
2019-04-14,9,False
2019-04-21,8,False
2019-04-28,5,False
2019-05-05,5,False
2019-05-12,0,False
2019-05-19,9,False
2019-05-26,11,False
2019-06-02,16,False
2019-06-09,5,False
2019-06-16,11,False
2019-06-23,11,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,6,False
2019-07-21,6,False
2019-07-28,8,False
2019-08-04,8,False
2019-08-11,11,False
2019-08-18,5,False
2019-08-25,5,False
2019-09-01,8,False
2019-09-08,5,False
2019-09-15,19,False
2019-09-22,7,False
2019-09-29,45,False
2019-10-06,28,False
2019-10-13,12,False
2019-10-20,10,False
2019-10-27,10,False
2019-11-03,12,False
2019-11-10,10,False
2019-11-17,7,False
2019-11-24,5,False
2019-12-01,7,False
2019-12-08,5,False
2019-12-15,7,False
2019-12-22,11,False
2019-12-29,16,False
2020-01-05,7,False
2020-01-12,5,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,5,False
2020-02-09,8,False
2020-02-16,5,False
2020-02-23,8,False
2020-03-01,5,False
2020-03-08,16,False
2020-03-15,100,False
2020-03-22,80,False
2020-03-29,45,False
2020-04-05,28,False
2020-04-12,18,False
2020-04-19,17,False
2020-04-26,6,False
2020-05-03,7,False
2020-05-10,14,False
2020-05-17,10,True
