date,Gartentor Metall,isPartial
2018-01-07,37,False
2018-01-14,24,False
2018-01-21,49,False
2018-01-28,25,False
2018-02-04,26,False
2018-02-11,25,False
2018-02-18,37,False
2018-02-25,25,False
2018-03-04,38,False
2018-03-11,50,False
2018-03-18,25,False
2018-03-25,0,False
2018-04-01,40,False
2018-04-08,100,False
2018-04-15,60,False
2018-04-22,65,False
2018-04-29,51,False
2018-05-06,65,False
2018-05-13,41,False
2018-05-20,52,False
2018-05-27,74,False
2018-06-03,37,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,50,False
2018-07-01,37,False
2018-07-08,24,False
2018-07-15,51,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,26,False
2018-08-26,25,False
2018-09-02,38,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,25,False
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,38,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,25,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,0,False
2019-01-13,23,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,24,False
2019-02-24,32,False
2019-03-03,23,False
2019-03-10,68,False
2019-03-17,40,False
2019-03-24,60,False
2019-03-31,23,False
2019-04-07,24,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,35,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,60,False
2019-06-16,56,False
2019-06-23,24,False
2019-06-30,71,False
2019-07-07,47,False
2019-07-14,25,False
2019-07-21,0,False
2019-07-28,26,False
2019-08-04,52,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,36,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,45,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,0,False
2019-11-03,43,False
2019-11-10,0,False
2019-11-17,43,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,31,False
2020-02-02,0,False
2020-02-09,20,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,40,False
2020-03-08,29,False
2020-03-15,19,False
2020-03-22,32,False
2020-03-29,44,False
2020-04-05,69,False
2020-04-12,59,False
2020-04-19,45,False
2020-04-26,37,False
2020-05-03,63,False
2020-05-10,45,False
