date,terapia familiar,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,47,False
2018-01-28,48,False
2018-02-04,0,False
2018-02-11,32,False
2018-02-18,0,False
2018-02-25,47,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,94,False
2018-04-22,62,False
2018-04-29,36,False
2018-05-06,63,False
2018-05-13,66,False
2018-05-20,31,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,31,False
2018-06-17,100,False
2018-06-24,33,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,47,False
2018-08-19,86,False
2018-08-26,38,False
2018-09-02,33,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,61,False
2018-09-30,31,False
2018-10-07,0,False
2018-10-14,46,False
2018-10-21,77,False
2018-10-28,0,False
2018-11-04,28,False
2018-11-11,29,False
2018-11-18,0,False
2018-11-25,56,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,67,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,28,False
2019-01-27,53,False
2019-02-03,30,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,27,False
2019-03-03,31,False
2019-03-10,31,False
2019-03-17,62,False
2019-03-24,0,False
2019-03-31,89,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,30,False
2019-04-28,32,False
2019-05-05,27,False
2019-05-12,90,False
2019-05-19,44,False
2019-05-26,0,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,0,False
2019-07-14,35,False
2019-07-21,34,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,41,False
2019-08-25,0,False
2019-09-01,29,False
2019-09-08,59,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,28,False
2019-10-06,28,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,43,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,40,False
2019-11-24,38,False
2019-12-01,43,False
2019-12-08,0,False
2019-12-15,27,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,42,False
2020-01-12,39,False
2020-01-19,26,False
2020-01-26,26,False
2020-02-02,53,False
2020-02-09,78,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,38,False
2020-03-08,0,False
2020-03-15,52,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,53,False
2020-04-12,50,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,48,False
2020-05-17,57,True
