date,terapia familiar,isPartial
2018-01-07,21,False
2018-01-14,31,False
2018-01-21,20,False
2018-01-28,20,False
2018-02-04,30,False
2018-02-11,21,False
2018-02-18,27,False
2018-02-25,29,False
2018-03-04,30,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,34,False
2018-04-01,21,False
2018-04-08,48,False
2018-04-15,20,False
2018-04-22,0,False
2018-04-29,20,False
2018-05-06,38,False
2018-05-13,51,False
2018-05-20,41,False
2018-05-27,20,False
2018-06-03,19,False
2018-06-10,32,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,41,False
2018-07-22,21,False
2018-07-29,43,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,23,False
2018-08-26,21,False
2018-09-02,20,False
2018-09-09,52,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,30,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,40,False
2018-10-28,31,False
2018-11-04,50,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,34,False
2018-12-23,25,False
2018-12-30,35,False
2019-01-06,51,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,100,False
2019-02-17,40,False
2019-02-24,39,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,20,False
2019-03-24,20,False
2019-03-31,26,False
2019-04-07,29,False
2019-04-14,21,False
2019-04-21,26,False
2019-04-28,38,False
2019-05-05,29,False
2019-05-12,0,False
2019-05-19,19,False
2019-05-26,18,False
2019-06-02,37,False
2019-06-09,38,False
2019-06-16,20,False
2019-06-23,27,False
2019-06-30,30,False
2019-07-07,0,False
2019-07-14,39,False
2019-07-21,20,False
2019-07-28,21,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,36,False
2019-09-22,28,False
2019-09-29,36,False
2019-10-06,18,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,37,False
2019-11-24,29,False
2019-12-01,37,False
2019-12-08,19,False
2019-12-15,25,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,33,False
2020-01-26,18,False
2020-02-02,35,False
2020-02-09,35,False
2020-02-16,18,False
2020-02-23,42,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,35,False
2020-03-22,16,False
2020-03-29,24,False
2020-04-05,40,False
2020-04-12,16,False
2020-04-19,25,False
2020-04-26,16,False
2020-05-03,15,False
2020-05-10,0,False
2020-05-17,18,True
