date,matrimonio sposi,isPartial
2018-01-07,31,False
2018-01-14,15,False
2018-01-21,31,False
2018-01-28,15,False
2018-02-04,0,False
2018-02-11,16,False
2018-02-18,23,False
2018-02-25,44,False
2018-03-04,31,False
2018-03-11,47,False
2018-03-18,16,False
2018-03-25,17,False
2018-04-01,17,False
2018-04-08,41,False
2018-04-15,32,False
2018-04-22,100,False
2018-04-29,41,False
2018-05-06,47,False
2018-05-13,25,False
2018-05-20,24,False
2018-05-27,17,False
2018-06-03,58,False
2018-06-10,30,False
2018-06-17,55,False
2018-06-24,56,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,17,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,35,False
2018-08-12,38,False
2018-08-19,19,False
2018-08-26,35,False
2018-09-02,16,False
2018-09-09,32,False
2018-09-16,38,False
2018-09-23,23,False
2018-09-30,0,False
2018-10-07,65,False
2018-10-14,25,False
2018-10-21,32,False
2018-10-28,16,False
2018-11-04,16,False
2018-11-11,0,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,0,False
2018-12-30,51,False
2019-01-06,16,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,45,False
2019-02-10,23,False
2019-02-17,45,False
2019-02-24,31,False
2019-03-03,16,False
2019-03-10,31,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,17,False
2019-04-21,25,False
2019-04-28,23,False
2019-05-05,39,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,44,False
2019-06-02,40,False
2019-06-09,42,False
2019-06-16,48,False
2019-06-23,25,False
2019-06-30,52,False
2019-07-07,82,False
2019-07-14,42,False
2019-07-21,51,False
2019-07-28,17,False
2019-08-04,27,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,40,False
2019-09-01,15,False
2019-09-08,30,False
2019-09-15,22,False
2019-09-22,22,False
2019-09-29,36,False
2019-10-06,38,False
2019-10-13,15,False
2019-10-20,29,False
2019-10-27,22,False
2019-11-03,14,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,14,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,15,False
2019-12-22,25,False
2019-12-29,16,False
2020-01-05,22,False
2020-01-12,14,False
2020-01-19,0,False
2020-01-26,14,False
2020-02-02,28,False
2020-02-09,28,False
2020-02-16,0,False
2020-02-23,13,False
2020-03-01,13,False
2020-03-08,13,False
2020-03-15,12,False
2020-03-22,0,False
2020-03-29,35,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
