date,banda musicale,isPartial
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,23,False
2018-02-04,0,False
2018-02-11,23,False
2018-02-18,44,False
2018-02-25,44,False
2018-03-04,43,False
2018-03-11,22,False
2018-03-18,45,False
2018-03-25,23,False
2018-04-01,48,False
2018-04-08,22,False
2018-04-15,34,False
2018-04-22,36,False
2018-04-29,35,False
2018-05-06,33,False
2018-05-13,44,False
2018-05-20,33,False
2018-05-27,34,False
2018-06-03,68,False
2018-06-10,33,False
2018-06-17,93,False
2018-06-24,0,False
2018-07-01,34,False
2018-07-08,69,False
2018-07-15,93,False
2018-07-22,24,False
2018-07-29,25,False
2018-08-05,27,False
2018-08-12,31,False
2018-08-19,30,False
2018-08-26,49,False
2018-09-02,44,False
2018-09-09,0,False
2018-09-16,32,False
2018-09-23,22,False
2018-09-30,43,False
2018-10-07,44,False
2018-10-14,22,False
2018-10-21,21,False
2018-10-28,43,False
2018-11-04,0,False
2018-11-11,64,False
2018-11-18,63,False
2018-11-25,22,False
2018-12-02,22,False
2018-12-09,32,False
2018-12-16,44,False
2018-12-23,26,False
2018-12-30,100,False
2019-01-06,44,False
2019-01-13,62,False
2019-01-20,42,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,21,False
2019-02-17,21,False
2019-02-24,33,False
2019-03-03,22,False
2019-03-10,65,False
2019-03-17,0,False
2019-03-24,22,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,34,False
2019-04-21,37,False
2019-04-28,34,False
2019-05-05,65,False
2019-05-12,21,False
2019-05-19,64,False
2019-05-26,0,False
2019-06-02,56,False
2019-06-09,0,False
2019-06-16,55,False
2019-06-23,69,False
2019-06-30,0,False
2019-07-07,45,False
2019-07-14,81,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,30,False
2019-08-18,28,False
2019-08-25,37,False
2019-09-01,52,False
2019-09-08,64,False
2019-09-15,31,False
2019-09-22,20,False
2019-09-29,31,False
2019-10-06,21,False
2019-10-13,0,False
2019-10-20,40,False
2019-10-27,30,False
2019-11-03,20,False
2019-11-10,20,False
2019-11-17,40,False
2019-11-24,58,False
2019-12-01,50,False
2019-12-08,31,False
2019-12-15,0,False
2019-12-22,62,False
2019-12-29,72,False
2020-01-05,41,False
2020-01-12,28,False
2020-01-19,19,False
2020-01-26,37,False
2020-02-02,18,False
2020-02-09,29,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,17,False
2020-03-29,18,False
2020-04-05,37,False
2020-04-12,0,False
2020-04-19,35,False
2020-04-26,30,True
