date,Wand verputzen,isPartial
2018-01-07,68,False
2018-01-14,33,False
2018-01-21,34,False
2018-01-28,34,False
2018-02-04,34,False
2018-02-11,68,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,33,False
2018-03-11,34,False
2018-03-18,69,False
2018-03-25,35,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,53,False
2018-04-22,44,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,33,False
2018-06-03,34,False
2018-06-10,32,False
2018-06-17,44,False
2018-06-24,51,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,56,False
2018-07-22,0,False
2018-07-29,45,False
2018-08-05,32,False
2018-08-12,64,False
2018-08-19,32,False
2018-08-26,33,False
2018-09-02,100,False
2018-09-09,66,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,70,False
2018-10-07,70,False
2018-10-14,50,False
2018-10-21,49,False
2018-10-28,49,False
2018-11-04,32,False
2018-11-11,33,False
2018-11-18,48,False
2018-11-25,49,False
2018-12-02,32,False
2018-12-09,44,False
2018-12-16,0,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,47,False
2019-01-27,47,False
2019-02-03,31,False
2019-02-10,64,False
2019-02-17,32,False
2019-02-24,66,False
2019-03-03,63,False
2019-03-10,31,False
2019-03-17,32,False
2019-03-24,33,False
2019-03-31,65,False
2019-04-07,34,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,32,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,47,False
2019-05-26,43,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,47,False
2019-06-23,65,False
2019-06-30,48,False
2019-07-07,33,False
2019-07-14,45,False
2019-07-21,35,False
2019-07-28,67,False
2019-08-04,33,False
2019-08-11,30,False
2019-08-18,47,False
2019-08-25,30,False
2019-09-01,45,False
2019-09-08,92,False
2019-09-15,31,False
2019-09-22,31,False
2019-09-29,63,False
2019-10-06,62,False
2019-10-13,60,False
2019-10-20,45,False
2019-10-27,30,False
2019-11-03,39,False
2019-11-10,29,False
2019-11-17,30,False
2019-11-24,28,False
2019-12-01,58,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,65,False
2019-12-29,61,False
2020-01-05,28,False
2020-01-12,0,False
2020-01-19,42,False
2020-01-26,47,False
2020-02-02,55,False
2020-02-09,27,False
2020-02-16,57,False
2020-02-23,56,False
2020-03-01,47,False
2020-03-08,26,False
2020-03-15,26,False
2020-03-22,39,False
2020-03-29,51,False
2020-04-05,57,False
2020-04-12,54,False
2020-04-19,39,False
2020-04-26,0,False
2020-05-03,51,False
2020-05-10,51,False
