date,Wand verputzen,isPartial
2018-01-07,25,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,26,False
2018-02-11,40,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,55,False
2018-04-01,0,False
2018-04-08,82,False
2018-04-15,28,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,54,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,27,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,52,False
2018-08-19,0,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,28,False
2018-10-07,55,False
2018-10-14,27,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,38,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,26,False
2019-01-06,49,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,49,False
2019-02-10,25,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,100,False
2019-04-14,26,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,38,False
2019-05-19,0,False
2019-05-26,25,False
2019-06-02,76,False
2019-06-09,25,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,26,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,24,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,25,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,24,False
2019-10-27,46,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,23,False
2019-11-24,0,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,33,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,43,False
2020-02-09,0,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,19,False
2020-04-05,27,False
2020-04-12,20,False
2020-04-19,38,False
2020-04-26,18,False
2020-05-03,0,False
2020-05-10,0,False
