date,Schwimmteich,isPartial
2018-01-07,13,False
2018-01-14,6,False
2018-01-21,12,False
2018-01-28,6,False
2018-02-04,13,False
2018-02-11,13,False
2018-02-18,19,False
2018-02-25,12,False
2018-03-04,12,False
2018-03-11,15,False
2018-03-18,13,False
2018-03-25,10,False
2018-04-01,24,False
2018-04-08,20,False
2018-04-15,40,False
2018-04-22,63,False
2018-04-29,17,False
2018-05-06,37,False
2018-05-13,26,False
2018-05-20,24,False
2018-05-27,58,False
2018-06-03,29,False
2018-06-10,31,False
2018-06-17,19,False
2018-06-24,32,False
2018-07-01,19,False
2018-07-08,29,False
2018-07-15,50,False
2018-07-22,37,False
2018-07-29,52,False
2018-08-05,100,False
2018-08-12,21,False
2018-08-19,53,False
2018-08-26,23,False
2018-09-02,6,False
2018-09-09,26,False
2018-09-16,20,False
2018-09-23,20,False
2018-09-30,13,False
2018-10-07,13,False
2018-10-14,16,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,9,False
2018-11-11,10,False
2018-11-18,6,False
2018-11-25,0,False
2018-12-02,6,False
2018-12-09,13,False
2018-12-16,7,False
2018-12-23,7,False
2018-12-30,13,False
2019-01-06,12,False
2019-01-13,18,False
2019-01-20,12,False
2019-01-27,12,False
2019-02-03,15,False
2019-02-10,21,False
2019-02-17,12,False
2019-02-24,18,False
2019-03-03,12,False
2019-03-10,20,False
2019-03-17,18,False
2019-03-24,15,False
2019-03-31,22,False
2019-04-07,43,False
2019-04-14,37,False
2019-04-21,20,False
2019-04-28,12,False
2019-05-05,12,False
2019-05-12,15,False
2019-05-19,27,False
2019-05-26,15,False
2019-06-02,37,False
2019-06-09,73,False
2019-06-16,37,False
2019-06-23,48,False
2019-06-30,57,False
2019-07-07,40,False
2019-07-14,33,False
2019-07-21,37,False
2019-07-28,26,False
2019-08-04,36,False
2019-08-11,29,False
2019-08-18,34,False
2019-08-25,34,False
2019-09-01,9,False
2019-09-08,12,False
2019-09-15,18,False
2019-09-22,12,False
2019-09-29,17,False
2019-10-06,12,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,6,False
2019-11-03,23,False
2019-11-10,8,False
2019-11-17,6,False
2019-11-24,6,False
2019-12-01,0,False
2019-12-08,6,False
2019-12-15,17,False
2019-12-22,6,False
2019-12-29,0,False
2020-01-05,14,False
2020-01-12,5,False
2020-01-19,8,False
2020-01-26,0,False
2020-02-02,5,False
2020-02-09,16,False
2020-02-16,16,False
2020-02-23,20,False
2020-03-01,10,False
2020-03-08,17,False
2020-03-15,15,False
2020-03-22,12,False
2020-03-29,25,False
2020-04-05,33,False
2020-04-12,44,False
2020-04-19,41,False
2020-04-26,36,False
2020-05-03,31,False
2020-05-10,26,False
2020-05-17,44,False
2020-05-24,28,False
2020-05-31,37,False
2020-06-07,60,False
2020-06-14,43,False
2020-06-21,42,False
2020-06-28,34,False
2020-07-05,41,False
